,2016,2017,2018,2019,2020,2021,2022,2023
0,1.12%,1.84%,1.47%,1.65%,5.54%,-2.90%,-4.44%,3.01%
1,5.36%,1.17%,2.18%,-0.72%,4.01%,-1.15%,-15.99%,-1.85%
2,-1.48%,-1.05%,-4.65%,14.40%,0.21%,-3.27%,-15.30%,-9.41%
3,-1.63%,1.96%,2.14%,14.04%,-6.60%,-5.63%,-4.08%,-6.18%
4,-0.40%,4.67%,-6.01%,10.63%,1.53%,-11.01%,-5.65%,-2.74%
5,10.12%,-3.54%,1.65%,1.38%,-2.93%,0.47%,-14.59%,0.01%
6,-0.89%,14.64%,-2.61%,-7.70%,7.04%,-16.22%,0.73%,3.28%
7,-14.61%,0.62%,9.43%,-0.18%,1.87%,-6.91%,7.92%,-11.38%
8,-6.59%,12.56%,3.63%,-5.90%,16.18%,-11.80%,-11.50%,7.03%
9,7.69%,1.66%,-11.22%,8.61%,4.00%,-6.63%,0.66%,-10.19%
10,-0.28%,-5.55%,15.66%,-18.77%,6.72%,-2.80%,6.90%,-0.60%
11,-4.22%,-8.47%,19.46%,-30.30%,2.02%,10.48%,-13.80%,5.18%
12,-5.86%,-21.59%,12.37%,-3.59%,4.03%,5.98%,-6.43%,-5.42%
13,1.31%,-9.88%,8.72%,0.10%,-20.55%,3.07%,2.58%,-11.31%
14,5.46%,-10.81%,-0.55%,6.30%,-20.58%,3.12%,-7.91%,3.29%
15,-6.12%,-5.08%,0.11%,5.20%,-15.67%,-0.25%,-6.12%,-3.49%
16,-7.29%,-8.67%,11.14%,-2.92%,-17.67%,-1.22%,-0.66%,-8.82%
17,-2.15%,3.53%,-1.43%,3.94%,-19.40%,-9.76%,2.19%,0.37%
18,-10.92%,1.32%,3.46%,0.14%,-17.71%,-6.18%,4.87%,2.68%
19,-8.44%,-3.08%,11.90%,-2.42%,-23.28%,-6.59%,11.62%,1.22%
20,-5.86%,-2.48%,9.24%,-2.83%,-20.20%,0.05%,6.28%,3.42%
21,-11.79%,7.38%,1.74%,-3.88%,-17.24%,-0.75%,10.66%,4.42%
22,-6.17%,3.72%,3.40%,-0.06%,-20.27%,-4.63%,9.58%,7.77%
23,-9.79%,2.43%,5.85%,3.18%,-24.63%,-1.04%,6.44%,6.89%
24,-9.21%,1.19%,5.94%,4.53%,-24.01%,-3.43%,6.49%,8.95%
25,-9.92%,1.92%,6.63%,0.06%,-19.97%,-6.49%,8.79%,6.45%
26,-10.68%,-5.06%,7.93%,0.46%,-18.60%,-7.60%,6.11%,9.27%
27,-11.99%,-1.58%,3.41%,5.95%,-22.65%,-6.17%,6.36%,7.13%
28,-18.10%,-0.72%,4.12%,2.83%,-20.36%,-7.22%,7.73%,6.33%
29,-5.44%,-6.05%,4.10%,-1.77%,-20.03%,-7.54%,4.93%,11.82%
30,-10.57%,-1.76%,-2.88%,-0.12%,-22.58%,-5.28%,5.63%,8.02%
31,-10.40%,-3.73%,3.52%,-3.40%,-25.09%,-6.64%,6.43%,6.03%
