"Age","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
0,"-2.9%","-1.4%","-0.4%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.2%","-0.1%","-0.1%","0.0%","0.0%","0.0%"
1,"-2.4%","-1.2%","-0.3%","-0.0%","-0.1%","-0.1%","-0.0%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.0%","-0.0%","-0.0%"
2,"-1.6%","-0.7%","-0.1%","0.0%","0.0%","-0.0%","-0.0%","-0.0%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.0%","-0.0%","-0.1%"
3,"-0.6%","-0.1%","0.2%","0.2%","0.1%","0.1%","0.0%","0.0%","-0.1%","-0.1%","-0.1%","-0.1%","-0.1%","-0.0%","-0.1%","-0.1%"
4,"0.4%","0.5%","0.4%","0.3%","0.2%","0.1%","0.1%","0.1%","-0.0%","-0.1%","-0.1%","-0.1%","-0.0%","-0.0%","-0.1%","-0.2%"
5,"1.4%","1.0%","0.7%","0.4%","0.3%","0.2%","0.2%","0.1%","0.0%","-0.0%","-0.1%","-0.0%","-0.0%","-0.0%","-0.1%","-0.2%"
6,"2.0%","1.4%","0.9%","0.6%","0.4%","0.4%","0.3%","0.2%","0.1%","0.0%","-0.0%","-0.0%","0.0%","0.0%","-0.1%","-0.2%"
7,"2.4%","1.7%","1.1%","0.7%","0.6%","0.5%","0.5%","0.4%","0.2%","0.1%","0.0%","0.0%","0.0%","0.0%","-0.1%","-0.2%"
8,"2.7%","2.0%","1.3%","0.9%","0.7%","0.7%","0.6%","0.5%","0.3%","0.2%","0.1%","0.0%","0.1%","0.1%","-0.0%","-0.2%"
9,"2.9%","2.2%","1.6%","1.1%","0.9%","0.8%","0.8%","0.7%","0.5%","0.3%","0.1%","0.1%","0.1%","0.1%","0.0%","-0.1%"
10,"3.1%","2.5%","1.8%","1.4%","1.1%","1.0%","0.9%","0.8%","0.6%","0.4%","0.2%","0.2%","0.1%","0.1%","0.1%","-0.1%"
11,"3.2%","2.5%","2.0%","1.6%","1.4%","1.2%","1.1%","1.0%","0.8%","0.5%","0.4%","0.2%","0.2%","0.2%","0.1%","-0.0%"
12,"2.9%","2.4%","1.9%","1.7%","1.6%","1.4%","1.4%","1.2%","1.0%","0.7%","0.5%","0.4%","0.3%","0.2%","0.2%","0.0%"
13,"2.2%","1.9%","1.7%","1.7%","1.7%","1.7%","1.6%","1.5%","1.2%","0.9%","0.6%","0.5%","0.4%","0.3%","0.2%","0.1%"
14,"1.3%","1.2%","1.3%","1.5%","1.7%","1.8%","1.8%","1.7%","1.4%","1.0%","0.8%","0.6%","0.5%","0.4%","0.3%","0.2%"
15,"0.6%","0.7%","0.8%","1.1%","1.4%","1.8%","1.9%","1.9%","1.6%","1.3%","1.0%","0.8%","0.6%","0.5%","0.4%","0.4%"
16,"0.6%","0.5%","0.5%","0.7%","1.1%","1.5%","1.9%","2.0%","1.8%","1.5%","1.2%","1.0%","0.8%","0.7%","0.6%","0.6%"
17,"1.6%","0.9%","0.4%","0.4%","0.7%","1.2%","1.7%","2.0%","2.0%","1.7%","1.5%","1.2%","1.0%","0.8%","0.7%","0.7%"
18,"3.3%","1.8%","0.7%","0.3%","0.4%","0.8%","1.3%","1.8%","1.9%","1.8%","1.7%","1.4%","1.2%","1.0%","0.9%","0.9%"
19,"5.5%","3.1%","1.2%","0.4%","0.2%","0.5%","0.9%","1.4%","1.7%","1.8%","1.8%","1.7%","1.4%","1.3%","1.1%","1.0%"
20,"7.6%","4.4%","1.9%","0.7%","0.3%","0.3%","0.6%","1.0%","1.4%","1.6%","1.8%","1.8%","1.6%","1.5%","1.3%","1.0%"
21,"9.3%","5.4%","2.5%","1.1%","0.5%","0.4%","0.4%","0.7%","1.0%","1.3%","1.6%","1.7%","1.7%","1.6%","1.4%","1.0%"
22,"10.5%","6.2%","3.0%","1.5%","0.9%","0.6%","0.5%","0.5%","0.6%","0.8%","1.2%","1.5%","1.7%","1.7%","1.5%","1.0%"
23,"11.2%","6.7%","3.3%","1.9%","1.3%","1.0%","0.8%","0.6%","0.5%","0.5%","0.8%","1.2%","1.5%","1.7%","1.6%","1.0%"
24,"11.4%","6.9%","3.5%","2.1%","1.7%","1.4%","1.2%","0.9%","0.5%","0.4%","0.5%","0.8%","1.2%","1.5%","1.5%","1.0%"
25,"11.2%","6.8%","3.6%","2.3%","1.9%","1.8%","1.6%","1.3%","0.8%","0.4%","0.3%","0.5%","0.8%","1.2%","1.3%","1.0%"
26,"10.7%","6.6%","3.6%","2.5%","2.1%","2.0%","1.9%","1.7%","1.2%","0.7%","0.4%","0.3%","0.5%","0.8%","1.0%","1.0%"
27,"10.1%","6.3%","3.6%","2.5%","2.3%","2.2%","2.2%","2.0%","1.6%","1.1%","0.6%","0.4%","0.4%","0.5%","0.8%","1.0%"
28,"9.4%","5.9%","3.5%","2.5%","2.4%","2.4%","2.4%","2.3%","1.9%","1.5%","1.0%","0.6%","0.4%","0.3%","0.5%","0.8%"
29,"8.6%","5.5%","3.3%","2.5%","2.4%","2.4%","2.5%","2.5%","2.2%","1.8%","1.4%","1.0%","0.6%","0.4%","0.4%","0.5%"
30,"7.8%","5.0%","3.0%","2.4%","2.4%","2.5%","2.6%","2.6%","2.4%","2.1%","1.8%","1.4%","1.0%","0.6%","0.4%","0.4%"
31,"6.9%","4.3%","2.6%","2.2%","2.2%","2.4%","2.6%","2.7%","2.5%","2.3%","2.0%","1.8%","1.4%","1.0%","0.7%","0.6%"
32,"5.8%","3.6%","2.2%","1.9%","2.0%","2.3%","2.6%","2.7%","2.6%","2.4%","2.2%","2.0%","1.7%","1.5%","1.2%","1.0%"
33,"4.7%","2.8%","1.6%","1.5%","1.7%","2.1%","2.5%","2.7%","2.7%","2.5%","2.4%","2.2%","2.0%","1.8%","1.5%","1.0%"
34,"3.6%","2.0%","1.1%","1.0%","1.4%","1.8%","2.3%","2.6%","2.6%","2.5%","2.4%","2.3%","2.2%","2.0%","1.7%","1.0%"
35,"2.6%","1.3%","0.6%","0.5%","0.9%","1.4%","2.0%","2.4%","2.5%","2.5%","2.5%","2.4%","2.3%","2.2%","1.8%","1.0%"
36,"1.7%","0.7%","0.1%","0.1%","0.5%","1.0%","1.6%","2.1%","2.3%","2.4%","2.4%","2.5%","2.4%","2.3%","2.0%","1.0%"
37,"1.0%","0.2%","-0.2%","-0.2%","0.1%","0.6%","1.2%","1.7%","2.0%","2.2%","2.3%","2.4%","2.4%","2.4%","2.0%","1.0%"
38,"0.2%","-0.2%","-0.5%","-0.5%","-0.3%","0.2%","0.7%","1.3%","1.6%","1.9%","2.1%","2.3%","2.4%","2.4%","2.1%","1.0%"
39,"-0.6%","-0.7%","-0.8%","-0.8%","-0.6%","-0.2%","0.3%","0.8%","1.2%","1.5%","1.8%","2.1%","2.3%","2.3%","2.1%","1.0%"
40,"-1.4%","-1.3%","-1.1%","-1.0%","-0.8%","-0.5%","-0.0%","0.4%","0.8%","1.1%","1.5%","1.8%","2.1%","2.2%","2.0%","1.0%"
41,"-2.2%","-1.8%","-1.4%","-1.2%","-1.0%","-0.7%","-0.3%","0.1%","0.3%","0.6%","1.0%","1.4%","1.8%","2.0%","1.9%","1.0%"
42,"-2.8%","-2.2%","-1.7%","-1.5%","-1.2%","-0.9%","-0.5%","-0.2%","0.0%","0.2%","0.6%","1.0%","1.4%","1.7%","1.7%","1.0%"
43,"-3.0%","-2.4%","-1.9%","-1.7%","-1.4%","-1.1%","-0.7%","-0.4%","-0.3%","-0.1%","0.2%","0.6%","1.0%","1.4%","1.5%","1.0%"
44,"-2.9%","-2.4%","-2.0%","-1.9%","-1.7%","-1.3%","-1.0%","-0.6%","-0.5%","-0.4%","-0.2%","0.2%","0.6%","1.0%","1.2%","1.0%"
45,"-2.5%","-2.1%","-1.9%","-1.9%","-1.8%","-1.6%","-1.2%","-0.9%","-0.7%","-0.6%","-0.5%","-0.2%","0.2%","0.6%","0.9%","1.0%"
46,"-1.9%","-1.7%","-1.7%","-1.9%","-1.9%","-1.7%","-1.4%","-1.1%","-0.9%","-0.8%","-0.7%","-0.5%","-0.2%","0.2%","0.6%","1.0%"
47,"-1.3%","-1.2%","-1.3%","-1.6%","-1.8%","-1.8%","-1.6%","-1.3%","-1.1%","-1.0%","-0.9%","-0.7%","-0.5%","-0.2%","0.2%","0.6%"
48,"-0.8%","-0.7%","-0.9%","-1.3%","-1.6%","-1.7%","-1.7%","-1.5%","-1.4%","-1.3%","-1.1%","-0.9%","-0.7%","-0.5%","-0.1%","0.2%"
49,"-0.5%","-0.3%","-0.5%","-0.9%","-1.3%","-1.5%","-1.6%","-1.6%","-1.6%","-1.5%","-1.3%","-1.1%","-0.9%","-0.7%","-0.4%","-0.1%"
50,"-0.4%","-0.1%","-0.1%","-0.4%","-0.9%","-1.2%","-1.4%","-1.5%","-1.6%","-1.7%","-1.6%","-1.3%","-1.1%","-0.9%","-0.6%","-0.3%"
51,"-0.3%","0.1%","0.2%","-0.1%","-0.4%","-0.7%","-1.0%","-1.3%","-1.5%","-1.8%","-1.7%","-1.6%","-1.3%","-1.1%","-0.8%","-0.5%"
52,"-0.3%","0.1%","0.3%","0.2%","-0.1%","-0.3%","-0.6%","-0.9%","-1.3%","-1.7%","-1.8%","-1.7%","-1.6%","-1.3%","-1.0%","-0.7%"
53,"-0.3%","0.2%","0.5%","0.4%","0.2%","0.0%","-0.2%","-0.5%","-1.0%","-1.5%","-1.7%","-1.8%","-1.8%","-1.6%","-1.3%","-0.9%"
54,"-0.3%","0.3%","0.6%","0.6%","0.4%","0.3%","0.2%","-0.1%","-0.6%","-1.1%","-1.5%","-1.7%","-1.7%","-1.7%","-1.4%","-1.0%"
55,"-0.3%","0.3%","0.7%","0.7%","0.6%","0.5%","0.5%","0.3%","-0.1%","-0.7%","-1.2%","-1.5%","-1.7%","-1.7%","-1.5%","-1.0%"
56,"-0.4%","0.3%","0.7%","0.8%","0.7%","0.7%","0.7%","0.6%","0.2%","-0.3%","-0.7%","-1.2%","-1.4%","-1.6%","-1.5%","-1.0%"
57,"-0.5%","0.3%","0.8%","0.8%","0.8%","0.8%","0.8%","0.8%","0.5%","0.1%","-0.3%","-0.7%","-1.1%","-1.4%","-1.4%","-1.0%"
58,"-0.8%","0.1%","0.7%","0.9%","0.9%","0.9%","0.9%","0.9%","0.7%","0.4%","0.1%","-0.3%","-0.7%","-1.1%","-1.2%","-1.0%"
59,"-1.0%","-0.1%","0.5%","0.8%","0.9%","1.0%","1.1%","1.0%","0.9%","0.6%","0.3%","0.0%","-0.3%","-0.7%","-0.9%","-1.0%"
