"Age","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
0,"-3.3%","-1.4%","-0.1%","0.2%","0.1%","0.2%","0.2%","0.1%","0.1%","0.1%","0.2%","0.3%","0.4%","0.5%","0.6%","0.7%"
1,"-3.8%","-1.6%","-0.1%","0.3%","0.2%","0.2%","0.2%","0.1%","0.1%","0.1%","0.2%","0.3%","0.4%","0.5%","0.5%","0.7%"
2,"-4.0%","-1.6%","-0.0%","0.4%","0.3%","0.2%","0.2%","0.2%","0.1%","0.1%","0.2%","0.2%","0.3%","0.4%","0.5%","0.6%"
3,"-3.8%","-1.4%","0.1%","0.5%","0.4%","0.3%","0.3%","0.2%","0.1%","0.1%","0.2%","0.2%","0.3%","0.4%","0.4%","0.5%"
4,"-3.2%","-1.0%","0.4%","0.6%","0.5%","0.4%","0.4%","0.3%","0.2%","0.1%","0.1%","0.2%","0.3%","0.3%","0.4%","0.4%"
5,"-2.1%","-0.4%","0.7%","0.8%","0.7%","0.6%","0.5%","0.4%","0.2%","0.2%","0.2%","0.2%","0.2%","0.3%","0.3%","0.3%"
6,"-0.9%","0.4%","1.0%","1.1%","0.9%","0.7%","0.6%","0.5%","0.3%","0.2%","0.2%","0.2%","0.2%","0.3%","0.3%","0.2%"
7,"0.5%","1.1%","1.4%","1.3%","1.0%","0.9%","0.7%","0.6%","0.5%","0.3%","0.3%","0.2%","0.2%","0.2%","0.3%","0.2%"
8,"1.7%","1.9%","1.8%","1.5%","1.2%","1.0%","0.9%","0.8%","0.6%","0.5%","0.4%","0.3%","0.3%","0.2%","0.3%","0.2%"
9,"2.6%","2.4%","2.2%","1.8%","1.5%","1.2%","1.1%","1.0%","0.8%","0.6%","0.5%","0.4%","0.3%","0.3%","0.3%","0.3%"
10,"2.9%","2.7%","2.4%","2.1%","1.7%","1.4%","1.3%","1.2%","1.0%","0.8%","0.7%","0.5%","0.4%","0.3%","0.3%","0.3%"
11,"2.7%","2.7%","2.6%","2.3%","2.0%","1.7%","1.5%","1.4%","1.1%","1.0%","0.8%","0.6%","0.4%","0.4%","0.4%","0.4%"
12,"2.0%","2.3%","2.5%","2.4%","2.2%","1.9%","1.8%","1.6%","1.3%","1.2%","1.0%","0.8%","0.5%","0.5%","0.5%","0.5%"
13,"1.0%","1.7%","2.2%","2.4%","2.3%","2.2%","2.0%","1.8%","1.6%","1.4%","1.2%","1.0%","0.7%","0.6%","0.6%","0.6%"
14,"0.2%","1.1%","1.8%","2.1%","2.3%","2.3%","2.2%","2.1%","1.8%","1.6%","1.4%","1.1%","0.8%","0.7%","0.8%","0.8%"
15,"-0.2%","0.6%","1.3%","1.7%","2.0%","2.2%","2.4%","2.3%","2.1%","1.8%","1.6%","1.3%","1.0%","0.9%","0.9%","1.0%"
16,"0.1%","0.5%","0.9%","1.3%","1.7%","2.0%","2.3%","2.4%","2.3%","2.1%","1.9%","1.5%","1.3%","1.2%","1.1%","1.0%"
17,"0.9%","0.8%","0.7%","0.9%","1.2%","1.6%","2.1%","2.4%","2.4%","2.3%","2.1%","1.8%","1.5%","1.4%","1.2%","1.0%"
18,"2.1%","1.4%","0.8%","0.6%","0.8%","1.2%","1.7%","2.2%","2.4%","2.4%","2.3%","2.0%","1.7%","1.6%","1.4%","1.0%"
19,"3.7%","2.2%","1.1%","0.5%","0.5%","0.7%","1.3%","1.8%","2.1%","2.4%","2.5%","2.2%","2.0%","1.8%","1.6%","1.0%"
20,"5.3%","3.2%","1.5%","0.7%","0.4%","0.5%","0.8%","1.3%","1.8%","2.2%","2.4%","2.4%","2.2%","2.0%","1.7%","1.0%"
