,2016,2017,2018,2019,2020,2021,2022,2023
0,1.64%,2.91%,3.07%,0.13%,4.13%,-5.93%,-2.06%,2.44%
1,-1.69%,5.35%,4.97%,-7.39%,10.10%,-21.48%,-1.57%,-2.27%
2,-6.86%,15.12%,-7.27%,7.00%,5.04%,-13.91%,-2.60%,-1.39%
3,-2.46%,3.75%,7.30%,-9.89%,3.27%,5.19%,-29.92%,4.02%
4,-20.47%,8.17%,10.90%,-8.00%,11.57%,-16.10%,1.09%,-3.49%
5,-15.03%,17.38%,-9.30%,-6.25%,15.99%,-5.33%,-17.68%,-8.32%
6,10.49%,-3.13%,0.20%,-6.01%,12.87%,-5.85%,-6.49%,-0.16%
7,-17.56%,7.62%,19.82%,-11.73%,-1.98%,-0.43%,-4.20%,3.44%
8,1.07%,-7.67%,-8.64%,16.89%,-4.19%,1.17%,-10.30%,0.58%
9,-28.07%,5.59%,-0.93%,4.12%,17.16%,-12.80%,-14.82%,4.53%
10,-12.84%,-4.93%,-10.42%,13.61%,5.23%,-10.41%,-9.46%,9.02%
11,-14.04%,4.25%,-12.38%,14.57%,6.12%,-10.56%,-1.69%,-6.99%
12,2.64%,1.88%,-15.29%,1.54%,-1.34%,2.79%,-19.55%,15.65%
13,11.08%,-5.28%,-2.78%,-3.32%,1.24%,-9.23%,-1.64%,8.90%
14,-2.08%,4.19%,5.54%,-0.50%,-2.65%,-12.22%,-1.62%,-1.56%
15,-7.86%,-7.61%,5.50%,4.27%,-8.64%,-2.39%,0.64%,-12.24%
16,-3.28%,-0.29%,6.20%,5.02%,-13.13%,-11.42%,3.00%,0.27%
17,-7.45%,11.01%,-7.15%,8.82%,-8.27%,-17.74%,-2.31%,5.26%
18,-4.40%,4.35%,2.96%,-3.75%,-7.91%,-10.96%,11.04%,-0.57%
19,2.77%,-0.23%,0.03%,4.80%,-18.30%,1.15%,-3.31%,5.92%
20,-5.49%,-1.21%,1.58%,3.31%,-9.69%,-14.70%,5.23%,12.59%
21,-4.98%,-1.04%,7.18%,-0.49%,-19.98%,-2.48%,6.31%,9.19%
22,-10.02%,0.85%,5.57%,2.64%,-17.54%,-8.38%,8.05%,3.34%
23,-12.28%,-2.29%,6.89%,-6.85%,-13.73%,-2.12%,2.34%,13.03%
24,-4.05%,-4.99%,4.09%,0.01%,-15.26%,-9.13%,9.18%,-0.24%
25,-4.57%,-3.00%,6.26%,0.30%,-21.92%,-0.70%,-0.25%,15.09%
