,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
0,-4.47%,-0.44%,0.16%,-0.20%,-0.14%,-0.64%,0.71%,-0.72%,0.36%,-0.86%,0.64%,-0.76%,0.07%,0.62%,-0.57%,0.26%
1,-5.85%,-0.39%,-0.23%,0.75%,-0.33%,-0.25%,-0.23%,0.62%,-0.64%,0.35%,-1.01%,-0.04%,0.10%,-0.25%,0.36%,0.01%
2,-8.70%,0.76%,-0.51%,0.14%,0.30%,-0.10%,-0.03%,-0.73%,0.38%,-0.48%,0.39%,-1.17%,0.48%,-0.24%,0.57%,-0.36%
3,-1.18%,0.76%,0.47%,-0.04%,-1.10%,1.19%,-1.19%,0.89%,-0.19%,0.45%,-0.49%,0.70%,-1.27%,-0.22%,0.55%,-0.37%
4,0.73%,0.76%,0.47%,0.49%,-0.23%,-0.69%,1.51%,-1.23%,1.12%,-1.75%,1.08%,-1.05%,1.38%,-0.72%,-0.48%,0.10%
5,7.74%,0.47%,0.47%,0.49%,0.18%,0.51%,-0.70%,1.31%,-1.35%,0.46%,-0.64%,0.82%,-0.48%,0.34%,-0.39%,-0.43%
6,7.14%,2.66%,0.19%,0.49%,0.18%,0.72%,0.58%,-1.34%,1.51%,-1.09%,1.44%,-2.22%,1.80%,-1.02%,0.98%,-1.16%
7,1.82%,-0.44%,2.38%,0.21%,0.18%,0.72%,0.51%,0.80%,-1.11%,0.76%,-0.29%,-0.43%,0.51%,0.68%,-0.83%,-0.07%
8,-1.56%,2.10%,-0.73%,2.39%,-0.10%,0.72%,0.51%,1.07%,0.03%,-0.84%,1.08%,-0.61%,0.43%,-0.25%,0.24%,-0.85%
9,5.99%,0.59%,1.81%,-0.71%,2.09%,0.43%,0.51%,1.07%,1.03%,-0.85%,-0.15%,0.86%,-0.68%,0.32%,0.39%,0.47%
10,1.57%,3.38%,0.30%,1.83%,-1.02%,2.62%,0.23%,1.07%,1.03%,0.05%,0.61%,-1.18%,1.02%,-0.24%,0.38%,-0.34%
11,1.99%,5.01%,3.10%,0.32%,1.53%,-0.48%,2.42%,0.79%,1.03%,0.05%,0.89%,-0.47%,-0.27%,0.55%,0.01%,0.03%
12,12.10%,0.02%,4.74%,3.12%,0.01%,2.06%,-0.68%,2.97%,0.75%,0.05%,0.89%,0.42%,0.14%,-1.29%,1.91%,-1.01%
13,8.13%,6.33%,-0.27%,4.76%,2.81%,0.55%,1.85%,-0.12%,2.92%,-0.24%,0.89%,0.42%,0.57%,-0.29%,0.52%,0.23%
14,-0.14%,-1.40%,6.06%,-0.25%,4.46%,3.34%,0.34%,2.41%,-0.16%,1.96%,0.60%,0.42%,0.57%,0.55%,0.13%,-0.34%
15,0.43%,-2.25%,-1.69%,6.07%,-0.56%,4.98%,3.14%,0.90%,2.36%,-1.16%,2.78%,0.13%,0.57%,0.55%,0.42%,-0.07%
16,-16.38%,0.83%,-2.55%,-1.67%,5.78%,-0.02%,4.78%,3.68%,0.86%,1.40%,-0.31%,2.32%,0.28%,0.55%,0.42%,1.00%
17,-8.09%,-2.62%,0.55%,-2.53%,-1.99%,6.29%,-0.22%,5.31%,3.64%,-0.13%,2.22%,-0.78%,2.47%,0.27%,0.42%,1.00%
18,11.48%,0.50%,-2.91%,0.57%,-2.84%,-1.44%,6.10%,0.34%,5.27%,2.68%,0.72%,1.76%,-0.63%,2.45%,0.14%,1.00%
19,10.50%,1.34%,0.22%,-2.89%,0.26%,-2.29%,-1.65%,6.62%,0.30%,4.33%,3.50%,0.24%,1.91%,-0.65%,2.33%,0.72%
20,14.19%,4.09%,1.05%,0.23%,-3.21%,0.79%,-2.50%,-1.08%,6.58%,-0.69%,5.14%,3.04%,0.40%,1.89%,-0.77%,2.90%
21,15.23%,1.63%,3.81%,1.07%,-0.08%,-2.66%,0.59%,-1.93%,-1.12%,5.66%,0.15%,4.69%,3.19%,0.38%,1.77%,-0.19%
22,11.85%,4.68%,1.35%,3.83%,0.76%,0.46%,-2.87%,1.15%,-1.97%,-2.13%,6.45%,-0.32%,4.83%,3.17%,0.25%,2.34%
23,23.28%,-0.21%,4.40%,1.37%,3.53%,1.30%,0.26%,-2.29%,1.10%,-2.98%,-1.27%,6.00%,-0.17%,4.81%,3.05%,0.83%
24,18.07%,2.43%,-0.50%,4.42%,1.06%,4.05%,1.09%,0.82%,-2.34%,0.12%,-2.12%,-1.75%,6.15%,-0.19%,4.69%,3.61%
25,18.07%,1.95%,2.15%,-0.48%,4.12%,1.60%,3.85%,1.65%,0.77%,-3.35%,0.96%,-2.60%,-1.59%,6.13%,-0.31%,5.25%
26,13.40%,6.64%,1.66%,2.17%,-0.80%,4.64%,1.39%,4.39%,1.61%,-0.21%,-2.48%,0.49%,-2.45%,-1.61%,6.01%,0.27%
27,13.20%,1.56%,6.37%,1.68%,1.87%,-0.25%,4.44%,1.95%,4.35%,0.63%,0.63%,-2.97%,0.64%,-2.46%,-1.74%,6.56%
28,11.54%,1.80%,1.28%,6.39%,1.38%,2.39%,-0.46%,4.98%,1.90%,3.40%,1.46%,0.16%,-2.81%,0.63%,-2.59%,-1.15%
29,11.84%,1.37%,1.52%,1.30%,6.10%,1.91%,2.19%,0.10%,4.94%,0.93%,4.21%,1.00%,0.31%,-2.83%,0.50%,-2.00%
30,13.38%,5.08%,1.09%,1.54%,0.99%,6.60%,1.70%,2.74%,0.06%,3.99%,1.76%,3.76%,1.15%,0.29%,-2.96%,1.08%
31,9.24%,2.69%,4.81%,1.11%,1.23%,1.52%,6.41%,2.26%,2.70%,-0.93%,4.80%,1.30%,3.90%,1.13%,0.17%,-2.37%
32,5.47%,0.54%,2.41%,4.83%,0.80%,1.76%,1.32%,6.93%,2.21%,1.73%,-0.08%,4.35%,1.45%,3.89%,1.00%,0.75%
33,12.63%,-1.81%,0.25%,2.42%,4.53%,1.33%,1.56%,1.87%,6.89%,1.24%,2.56%,-0.56%,4.50%,1.43%,3.76%,1.58%
34,3.02%,1.73%,-2.11%,0.27%,2.12%,5.04%,1.13%,2.11%,1.83%,5.97%,2.07%,2.10%,-0.41%,4.48%,1.30%,4.32%
35,0.57%,0.94%,1.45%,-2.09%,-0.04%,2.65%,4.85%,1.68%,2.07%,0.86%,6.76%,1.61%,2.25%,-0.42%,4.36%,1.88%
36,1.55%,-2.94%,0.65%,1.47%,-2.40%,0.50%,2.45%,5.38%,1.64%,1.10%,1.69%,6.32%,1.76%,2.23%,-0.55%,4.91%
37,1.16%,-0.38%,-3.23%,0.67%,1.16%,-1.85%,0.29%,3.00%,5.34%,0.66%,1.93%,1.22%,6.46%,1.74%,2.10%,0.03%
38,2.10%,0.22%,-0.66%,-3.22%,0.36%,1.69%,-2.07%,0.85%,2.95%,4.40%,1.50%,1.46%,1.37%,6.44%,1.62%,2.67%
39,4.08%,-1.16%,-0.07%,-0.65%,-3.54%,0.90%,1.49%,-1.49%,0.81%,1.99%,5.21%,1.03%,1.61%,1.36%,6.33%,2.19%
40,-2.07%,0.63%,-1.45%,-0.05%,-0.96%,-2.98%,0.69%,2.04%,-1.53%,-0.17%,2.81%,4.76%,1.18%,1.60%,1.23%,6.87%
41,-5.71%,-1.43%,0.35%,-1.43%,-0.36%,-0.42%,-3.19%,1.25%,2.00%,-2.54%,0.67%,2.35%,4.90%,1.17%,1.47%,1.80%
42,-5.92%,-3.73%,-1.72%,0.36%,-1.75%,0.18%,-0.62%,-2.61%,1.21%,1.03%,-1.68%,0.20%,2.50%,4.88%,1.04%,2.04%
43,-6.75%,-1.01%,-4.03%,-1.70%,0.06%,-1.20%,-0.03%,-0.06%,-2.66%,0.23%,1.86%,-2.16%,0.35%,2.48%,4.76%,1.61%
44,-3.46%,-4.74%,-1.30%,-4.01%,-2.02%,0.59%,-1.41%,0.54%,-0.10%,-3.68%,1.07%,1.39%,-2.01%,0.33%,2.36%,5.32%
45,-2.77%,0.12%,-5.04%,-1.28%,-4.33%,-1.47%,0.39%,-0.84%,0.49%,-1.09%,-2.80%,0.60%,1.55%,-2.03%,0.21%,2.93%
46,-2.47%,-1.73%,-0.17%,-5.02%,-1.59%,-3.77%,-1.68%,0.95%,-0.88%,-0.49%,-0.24%,-3.29%,0.75%,1.53%,-2.15%,0.78%
47,-2.89%,-0.25%,-2.03%,-0.15%,-5.35%,-1.05%,-3.98%,-1.11%,0.90%,-1.88%,0.35%,-0.72%,-3.13%,0.73%,1.40%,-1.56%
48,1.71%,-1.42%,-0.54%,-2.01%,-0.46%,-4.78%,-1.26%,-3.40%,-1.15%,-0.08%,-1.03%,-0.12%,-0.57%,-3.15%,0.61%,1.97%
49,1.47%,2.13%,-1.71%,-0.52%,-2.32%,0.08%,-5.00%,-0.69%,-3.44%,-2.16%,0.76%,-1.51%,0.03%,-0.58%,-3.28%,1.18%
50,0.49%,1.72%,1.85%,-1.70%,-0.83%,-1.77%,-0.13%,-4.41%,-0.73%,-4.47%,-1.30%,0.29%,-1.35%,0.01%,-0.71%,-2.69%
51,-2.54%,1.34%,1.44%,1.87%,-2.01%,-0.29%,-1.98%,0.43%,-4.45%,-1.73%,-3.59%,-1.78%,0.44%,-1.37%,-0.11%,-0.13%
52,-1.86%,-0.27%,1.06%,1.46%,1.56%,-1.46%,-0.50%,-1.41%,0.39%,-5.49%,-0.88%,-4.09%,-1.62%,0.43%,-1.50%,0.47%
53,-2.88%,1.71%,-0.55%,1.08%,1.15%,2.09%,-1.67%,0.07%,-1.46%,-0.60%,-4.60%,-1.36%,-3.93%,-1.64%,0.30%,-0.91%
54,0.63%,-1.04%,1.43%,-0.54%,0.77%,1.68%,1.89%,-1.10%,0.03%,-2.46%,0.25%,-5.10%,-1.20%,-3.94%,-1.77%,0.88%
55,1.29%,1.72%,-1.33%,1.45%,-0.85%,1.30%,1.48%,2.44%,-1.15%,-0.97%,-1.60%,-0.23%,-4.94%,-1.22%,-4.08%,-1.18%
56,-1.55%,3.65%,1.43%,-1.31%,1.14%,-0.31%,1.10%,2.04%,2.40%,-2.15%,-0.12%,-2.08%,-0.07%,-4.96%,-1.35%,-3.47%
57,-1.65%,1.80%,3.37%,1.45%,-1.63%,1.67%,-0.51%,1.66%,1.99%,1.43%,-1.29%,-0.59%,-1.93%,-0.09%,-5.09%,-0.76%
58,-2.20%,0.51%,1.52%,3.39%,1.15%,-1.08%,1.47%,0.05%,1.61%,1.02%,2.26%,-1.77%,-0.44%,-1.95%,-0.22%,-4.48%
59,-2.71%,0.51%,0.23%,1.54%,3.09%,1.68%,-1.29%,2.02%,0.01%,0.64%,1.85%,1.80%,-1.62%,-0.46%,-2.07%,0.36%
60,-0.55%,0.11%,0.22%,0.25%,1.23%,3.61%,1.47%,-0.72%,1.98%,-0.98%,1.47%,1.39%,1.95%,-1.63%,-0.59%,-1.48%
61,-2.83%,0.95%,-0.18%,0.24%,-0.06%,1.76%,3.41%,2.03%,-0.76%,1.01%,-0.14%,1.00%,1.54%,1.93%,-1.76%,0.00%
62,-2.05%,-0.57%,0.66%,-0.16%,-0.07%,0.47%,1.56%,3.95%,1.99%,-1.76%,1.84%,-0.61%,1.16%,1.52%,1.80%,-1.17%
63,-5.02%,0.88%,-0.86%,0.68%,-0.47%,0.47%,0.27%,2.11%,3.91%,1.01%,-0.91%,1.37%,-0.46%,1.14%,1.39%,2.37%
64,-3.12%,-1.74%,0.59%,-0.84%,0.37%,0.07%,0.26%,0.83%,2.07%,2.96%,1.84%,-1.39%,1.52%,-0.48%,1.01%,1.97%
65,-3.05%,-1.40%,-2.03%,0.61%,-1.16%,0.91%,-0.14%,0.82%,0.79%,1.10%,3.77%,1.38%,-1.23%,1.51%,-0.60%,1.59%
66,-2.20%,0.49%,-1.69%,-2.02%,0.30%,-0.61%,0.70%,0.42%,0.78%,-0.20%,1.93%,3.32%,1.53%,-1.25%,1.38%,-0.02%
67,-2.14%,-0.29%,0.20%,-1.68%,-2.33%,0.84%,-0.82%,1.26%,0.38%,-0.21%,0.64%,1.46%,3.47%,1.51%,-1.38%,1.95%
68,-1.43%,-0.36%,-0.58%,0.22%,-1.99%,-1.78%,0.63%,-0.25%,1.22%,-0.61%,0.64%,0.17%,1.61%,3.45%,1.39%,-0.79%
69,0.33%,-1.31%,-0.65%,-0.56%,-0.09%,-1.44%,-1.99%,1.19%,-0.30%,0.24%,0.24%,0.16%,0.32%,1.60%,3.33%,1.96%
70,2.49%,-0.06%,-1.60%,-0.63%,-0.88%,0.45%,-1.65%,-1.42%,1.15%,-1.29%,1.08%,-0.24%,0.32%,0.31%,1.47%,3.89%
71,0.28%,1.92%,-0.34%,-1.58%,-0.94%,-0.33%,0.24%,-1.08%,-1.46%,0.17%,-0.44%,0.61%,-0.08%,0.30%,0.18%,2.04%
72,14.08%,-0.72%,1.64%,-0.33%,-1.89%,-0.40%,-0.54%,0.81%,-1.13%,-2.47%,1.01%,-0.92%,0.76%,-0.10%,0.17%,0.76%
