,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
0,-3.57%,0.33%,0.72%,0.19%,-0.25%,-0.41%,1.42%,-0.62%,0.14%,-0.22%,1.07%,-0.49%,1.12%,0.77%,-0.24%,1.40%
1,-2.30%,0.31%,0.06%,0.98%,-0.07%,-0.35%,-0.12%,1.25%,-1.01%,0.17%,0.87%,-0.29%,1.00%,0.33%,0.87%,0.14%
2,-11.86%,1.48%,-0.29%,0.55%,0.61%,-0.01%,0.08%,-0.17%,0.29%,0.02%,0.15%,-0.44%,1.23%,-0.14%,1.38%,0.46%
3,-13.05%,1.48%,1.04%,-0.16%,-0.61%,1.84%,-0.76%,0.98%,-0.80%,1.35%,-1.02%,0.92%,-0.42%,0.09%,0.43%,0.61%
4,-10.80%,1.48%,1.04%,1.10%,-0.10%,-0.75%,2.04%,-0.77%,0.64%,-1.17%,1.53%,-1.18%,1.43%,-0.82%,0.57%,0.73%
5,-1.56%,1.31%,1.04%,1.10%,0.85%,0.58%,-0.63%,1.89%,-1.67%,1.53%,-1.46%,1.14%,-0.41%,0.68%,0.41%,-0.33%
6,1.86%,2.91%,0.87%,1.10%,0.85%,0.73%,0.65%,-0.55%,1.31%,-0.76%,1.43%,-2.18%,2.47%,-1.29%,1.45%,-0.39%
7,-2.37%,1.92%,2.48%,0.93%,0.85%,0.73%,0.97%,0.58%,-0.29%,1.00%,-0.57%,0.93%,-0.55%,1.05%,-0.45%,0.15%
8,1.49%,1.65%,1.48%,2.54%,0.67%,0.73%,0.97%,1.29%,0.28%,-0.38%,1.15%,-0.67%,1.17%,-0.65%,0.75%,0.07%
9,0.56%,1.93%,1.21%,1.54%,2.29%,0.56%,0.97%,1.29%,1.02%,0.27%,-0.03%,1.28%,-0.91%,0.72%,-0.06%,0.92%
10,12.57%,4.07%,1.50%,1.27%,1.29%,2.17%,0.80%,1.29%,1.02%,0.58%,0.92%,-0.47%,1.20%,-0.48%,0.82%,-0.22%
11,9.84%,5.79%,3.64%,1.56%,1.01%,1.17%,2.41%,1.12%,1.02%,0.58%,1.62%,0.22%,-0.25%,0.77%,-0.36%,0.83%
12,4.60%,2.23%,5.37%,3.70%,1.30%,0.90%,1.41%,2.72%,0.85%,0.58%,1.62%,1.20%,0.30%,-0.95%,1.46%,-0.57%
13,-9.47%,5.49%,1.80%,5.43%,3.45%,1.19%,1.14%,1.73%,2.46%,0.41%,1.62%,1.20%,0.10%,0.64%,0.34%,1.24%
14,-3.89%,-0.33%,5.08%,1.85%,5.18%,3.34%,1.42%,1.46%,1.46%,2.03%,1.45%,1.20%,0.10%,1.11%,0.37%,0.62%
15,0.85%,-0.41%,-0.77%,5.13%,1.60%,5.07%,3.57%,1.74%,1.19%,1.02%,3.05%,1.03%,0.10%,1.11%,1.41%,0.01%
16,-5.15%,0.54%,-0.86%,-0.71%,4.89%,1.48%,5.30%,3.88%,1.48%,0.75%,2.06%,2.64%,-0.08%,1.11%,1.41%,1.54%
17,-4.95%,0.11%,0.10%,-0.80%,-0.97%,4.77%,1.72%,5.61%,3.62%,1.04%,1.79%,1.64%,1.55%,0.94%,1.41%,1.54%
18,4.76%,-1.91%,-0.33%,0.16%,-1.06%,-1.09%,5.00%,2.04%,5.35%,3.19%,2.07%,1.37%,0.54%,2.55%,1.24%,1.54%
19,4.67%,2.66%,-2.36%,-0.27%,-0.10%,-1.18%,-0.85%,5.31%,1.77%,4.93%,4.21%,1.65%,0.27%,1.55%,2.84%,1.37%
20,8.23%,2.71%,2.23%,-2.30%,-0.53%,-0.22%,-0.93%,-0.52%,5.06%,1.34%,5.93%,3.80%,0.56%,1.28%,1.85%,2.97%
21,13.85%,1.09%,2.28%,2.28%,-2.56%,-0.65%,0.03%,-0.61%,-0.79%,4.63%,2.37%,5.52%,2.72%,1.57%,1.57%,1.98%
22,10.46%,4.72%,0.66%,2.34%,2.03%,-2.68%,-0.41%,0.35%,-0.88%,-1.24%,5.63%,1.95%,4.47%,3.71%,1.86%,1.71%
23,11.26%,0.46%,4.30%,0.71%,2.08%,1.91%,-2.44%,-0.08%,0.08%,-1.33%,-0.18%,5.23%,0.86%,5.44%,4.00%,1.99%
24,14.24%,0.97%,0.02%,4.36%,0.46%,1.97%,2.15%,-2.11%,-0.35%,-0.36%,-0.27%,-0.61%,4.17%,1.86%,5.72%,4.13%
25,18.63%,3.17%,0.54%,0.08%,4.11%,0.34%,2.21%,2.47%,-2.38%,-0.80%,0.69%,-0.70%,-1.73%,5.14%,2.16%,5.85%
26,15.25%,6.64%,2.75%,0.59%,-0.18%,4.00%,0.58%,2.52%,2.20%,-2.83%,0.26%,0.26%,-1.82%,-0.70%,5.43%,2.29%
27,13.51%,4.13%,6.23%,2.80%,0.34%,-0.30%,4.23%,0.90%,2.26%,1.77%,-1.76%,-0.17%,-0.85%,-0.79%,-0.40%,5.55%
28,14.81%,3.70%,3.71%,6.28%,2.55%,0.22%,-0.06%,4.54%,0.63%,1.82%,2.80%,-2.20%,-1.29%,0.17%,-0.49%,-0.26%
