,2016,2017,2018,2019,2020,2021,2022,2023
18,100.00%,0.00%,0.00%,0.00%,0.00%,25.00%,100.00%,0.00%
19,0.00%,-77.09%,52.65%,100.00%,0.00%,0.00%,-51.25%,78.97%
20,100.00%,0.00%,-108.91%,100.00%,0.00%,-79.45%,4.79%,81.84%
21,17.73%,14.68%,-42.46%,63.92%,-493.39%,72.16%,5.15%,-70.49%
22,-76.48%,-33.22%,37.96%,100.00%,0.00%,52.22%,-52.05%,69.73%
23,56.11%,8.09%,0.21%,1.34%,13.15%,-390.81%,-1.14%,22.62%
24,54.99%,-355.93%,60.32%,-109.89%,-49.24%,16.16%,-5.01%,83.77%
25,-120.30%,6.51%,41.43%,-37.93%,-11.74%,-17.34%,30.43%,-74.73%
26,-50.36%,26.56%,-22.81%,-1.98%,9.42%,-20.30%,-57.42%,6.60%
27,13.73%,-131.84%,80.66%,-306.87%,32.53%,-66.99%,-19.10%,71.13%
28,56.67%,-76.79%,-13.55%,-58.15%,34.48%,-70.70%,-17.68%,21.00%
29,-326.32%,45.99%,-54.87%,-9.29%,9.87%,-87.45%,23.80%,6.56%
30,-72.22%,-100.19%,47.86%,43.20%,-170.51%,12.92%,-32.15%,-40.06%
31,-26.67%,-33.46%,-4.13%,14.81%,-15.33%,43.43%,-21.32%,-98.97%
32,-54.86%,28.70%,6.79%,4.56%,-72.76%,43.23%,-81.26%,-12.84%
33,-53.13%,22.11%,-13.78%,33.53%,-174.19%,37.02%,32.48%,-47.35%
34,13.12%,-6.23%,-20.92%,-17.21%,-22.91%,-71.71%,42.64%,-22.64%
35,25.48%,-50.75%,-19.58%,28.32%,-20.60%,-52.00%,30.30%,24.73%
36,-39.20%,11.45%,-97.17%,30.74%,48.95%,-55.33%,17.53%,-36.92%
37,-5.34%,9.60%,-69.06%,39.54%,18.05%,1.87%,-12.27%,-45.80%
38,-107.26%,14.79%,20.76%,12.25%,27.38%,-56.05%,-25.22%,15.04%
39,22.37%,-42.51%,-17.33%,60.90%,11.93%,-133.08%,20.56%,20.63%
40,-35.49%,38.63%,-74.81%,0.80%,-1.46%,27.81%,0.24%,-0.75%
41,5.12%,18.86%,-63.77%,24.73%,-0.82%,3.79%,5.42%,-26.21%
42,0.74%,9.28%,-33.13%,-0.64%,-4.45%,8.46%,-26.67%,12.58%
