,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
18,-2148%,-179%,-124%,13%,-48%,-80%,3%,-177%,33%,26%,-106%,23%
19,-2770%,-99%,-198%,-70%,8%,-86%,-47%,-37%,-102%,24%,37%,-127%
20,-1282%,-46%,-98%,-135%,-71%,-13%,-79%,-85%,-1%,-117%,29%,31%
21,-406%,-46%,-9%,-83%,-225%,-62%,-8%,-72%,-28%,-53%,-70%,24%
22,-1202%,-46%,-9%,-33%,-111%,-159%,-132%,17%,-31%,-90%,-7%,-126%
23,95%,-10216%,-9%,-33%,-8%,-139%,-191%,-101%,24%,-69%,-45%,-30%
24,45%,17%,-7578%,-33%,-8%,-47%,-132%,-154%,-77%,-14%,-8%,-95%
25,91%,-9%,38%,-9306%,-8%,-47%,-21%,-147%,-164%,-60%,9%,-57%
26,86%,43%,19%,24%,-7507%,-47%,-21%,-26%,-137%,-87%,-169%,27%
27,-4283%,97%,58%,0%,39%,-10313%,-21%,-26%,-11%,-165%,-143%,-89%
28,81%,-10633%,98%,48%,19%,16%,-8467%,-26%,-11%,-34%,-112%,-165%
29,77%,7%,-7889%,97%,58%,-10%,31%,-8833%,-11%,-34%,-29%,-148%
30,57%,52%,30%,-9687%,98%,43%,9%,28%,-7725%,-34%,-29%,-31%
31,71%,-105%,64%,15%,-7815%,97%,53%,5%,37%,-9353%,-29%,-31%
32,35%,33%,-52%,56%,31%,-10734%,97%,51%,17%,24%,-9051%,-31%
33,-12%,10%,50%,-87%,64%,6%,-8814%,97%,57%,0%,26%,-9167%
34,-57%,4%,33%,39%,-51%,51%,22%,-9194%,98%,48%,3%,25%
35,-19%,-106%,28%,18%,51%,-106%,60%,19%,-8041%,97%,50%,2%
36,-26%,9%,-53%,12%,34%,32%,-70%,58%,29%,-9736%,97%,49%
37,-24%,-14%,33%,-88%,29%,9%,44%,-77%,63%,14%,-9422%,97%
38,2%,-82%,15%,17%,-52%,3%,25%,42%,-55%,56%,17%,-9542%
39,-56%,-20%,-36%,-4%,33%,-108%,20%,22%,49%,-87%,57%,16%
40,6%,-50%,11%,-66%,16%,9%,-71%,17%,32%,39%,-81%,57%
41,21%,-6%,-12%,-9%,-34%,-15%,25%,-78%,27%,18%,41%,-84%
42,7%,-7%,21%,-37%,12%,-84%,5%,22%,-56%,12%,20%,40%
43,32%,-47%,21%,3%,-11%,-21%,-51%,1%,31%,-89%,15%,19%
44,27%,-12%,-10%,3%,22%,-52%,1%,-58%,13%,17%,-83%,14%
45,-34%,-14%,17%,-34%,21%,-7%,-25%,-3%,-38%,-5%,20%,-20%
46,19%,-23%,15%,-2%,-9%,-8%,12%,-30%,9%,-67%,-1%,19%
47,-76%,-14%,9%,-4%,17%,-49%,11%,8%,-14%,-10%,-62%,-3%
48,-36%,-28%,15%,-12%,16%,-13%,-22%,8%,19%,-38%,-6%,-64%
49,2%,-33%,5%,-4%,9%,-15%,7%,-28%,19%,3%,-33%,-7%
50,8%,-16%,1%,-16%,16%,-24%,5%,3%,-12%,2%,6%,-35%
51,-1%,-16%,13%,-22%,6%,-15%,-2%,1%,15%,-35%,5%,5%
52,-11%,-19%,14%,-6%,2%,-29%,5%,-6%,13%,-3%,-31%,4%
53,-17%,-28%,12%,-6%,14%,-35%,-6%,1%,7%,-5%,1%,-32%
54,6%,-38%,5%,-8%,14%,-17%,-11%,-11%,13%,-13%,-1%,-1%
55,-16%,-12%,-3%,-16%,12%,-17%,3%,-16%,3%,-5%,-9%,-3%
56,-2%,-26%,17%,-26%,6%,-20%,4%,-1%,-1%,-17%,-1%,-10%
57,-11%,-26%,6%,-2%,-2%,-29%,1%,0%,12%,-22%,-13%,-3%
58,1%,-19%,6%,-15%,18%,-39%,-6%,-3%,12%,-7%,-18%,-15%
59,-31%,-4%,12%,-15%,7%,-13%,-14%,-11%,10%,-6%,-3%,-20%
60,6%,-27%,23%,-8%,7%,-27%,7%,-19%,3%,-9%,-3%,-5%
61,4%,-19%,5%,5%,12%,-27%,-5%,3%,-5%,-17%,-5%,-4%
62,-2%,-24%,12%,-16%,24%,-20%,-5%,-9%,15%,-26%,-13%,-7%
63,17%,-23%,7%,-8%,6%,-5%,1%,-9%,4%,-2%,-22%,-15%
64,0%,-20%,9%,-13%,13%,-29%,14%,-3%,4%,-16%,1%,-24%
65,-34%,-16%,11%,-12%,8%,-20%,-6%,10%,10%,-16%,-12%,0%
66,-10%,-32%,14%,-9%,9%,-25%,2%,-10%,21%,-9%,-12%,-13%
67,4%,-14%,2%,-6%,12%,-24%,-3%,-3%,3%,5%,-5%,-13%
68,24%,-24%,15%,-20%,15%,-21%,-2%,-8%,10%,-17%,8%,-7%
