,2016,2017,2018,2019,2020,2021,2022,2023
18,0.00%,0.00%,100.00%,0.00%,0.00%,-275.00%,90.48%,65.85%
19,0.00%,39.90%,55.29%,-11.55%,-426.86%,31.86%,-38.87%,65.77%
20,-55.05%,-36.90%,19.44%,17.76%,100.00%,0.00%,-531.64%,33.89%
21,-14.95%,87.45%,-284.85%,-53.97%,-3.90%,-84.56%,48.34%,15.54%
22,62.95%,-97.77%,-6.60%,-29.76%,-34.12%,48.79%,-77.26%,28.83%
23,50.95%,-42.88%,41.89%,-96.27%,26.05%,-83.58%,-30.29%,26.10%
24,41.52%,-127.59%,32.85%,-12.28%,-75.86%,-13.31%,42.89%,-32.40%
25,-30.19%,30.48%,-39.19%,-0.13%,-50.17%,-16.07%,55.88%,-14.72%
26,10.58%,-97.72%,-2.92%,11.44%,-0.96%,-2.58%,-10.41%,18.49%
27,8.14%,-92.61%,39.85%,-50.67%,-2.44%,24.09%,-19.81%,50.27%
28,-16.03%,11.49%,8.58%,-29.83%,29.90%,-87.36%,23.66%,-10.87%
29,10.06%,-70.17%,7.88%,32.25%,-27.81%,-43.68%,30.39%,-33.05%
30,53.98%,-190.19%,-11.79%,17.50%,-29.44%,-37.08%,-13.95%,28.51%
31,-66.73%,1.53%,-1.32%,-18.19%,-19.27%,-34.94%,13.81%,13.66%
32,-48.70%,-29.81%,19.89%,-45.32%,12.47%,-25.56%,0.57%,27.89%
33,-3.69%,22.79%,9.80%,-64.56%,-12.08%,43.13%,-74.20%,-31.97%
34,-96.44%,-89.54%,19.50%,-59.67%,1.79%,7.11%,1.96%,-54.17%
35,13.91%,-1.23%,41.65%,-47.53%,-16.38%,-41.12%,0.79%,-13.91%
36,12.04%,-90.18%,50.26%,-24.08%,-31.17%,-13.74%,-1.47%,-17.23%
37,-19.90%,-60.71%,25.36%,5.00%,-6.80%,3.65%,-32.34%,15.61%
38,7.61%,-3.39%,-9.98%,42.02%,-90.86%,-35.49%,7.54%,-17.77%
39,-4.32%,-78.82%,16.89%,-13.08%,-8.04%,-30.40%,27.48%,-17.38%
40,5.58%,-65.84%,-6.34%,-0.11%,-29.00%,-15.66%,49.45%,-45.60%
41,31.70%,-15.75%,-6.93%,24.58%,-48.62%,-53.93%,32.93%,7.06%
42,-30.09%,22.62%,23.00%,-42.71%,-29.23%,20.30%,-41.59%,-9.30%
43,-14.05%,-8.63%,22.89%,-17.48%,13.62%,-58.36%,14.51%,2.42%
44,-33.99%,-40.45%,20.44%,19.46%,-35.13%,11.12%,4.68%,19.50%
45,-44.76%,-19.78%,25.76%,10.41%,-28.55%,-4.36%,-18.67%,-3.99%
46,-31.58%,17.52%,24.96%,-50.94%,-25.04%,-13.90%,-11.81%,10.46%
47,-51.90%,4.84%,3.13%,-4.47%,-28.16%,40.03%,-40.66%,-6.99%
48,5.27%,8.28%,4.16%,10.97%,-52.75%,20.10%,-5.96%,21.27%
49,5.15%,19.21%,-26.06%,19.06%,-20.82%,-26.70%,2.99%,-18.84%
50,15.62%,-41.80%,38.61%,-16.83%,-45.13%,-14.18%,26.15%,6.83%
51,-54.55%,25.67%,-40.30%,11.81%,25.15%,-41.51%,-1.01%,-10.07%
52,-6.60%,-20.14%,-0.40%,-19.66%,-11.28%,24.03%,-24.07%,28.33%
53,9.89%,-0.18%,0.72%,4.98%,-20.35%,-10.56%,11.78%,-25.54%
54,33.62%,-42.96%,3.69%,-21.40%,-2.15%,-3.83%,2.43%,-17.08%
55,21.17%,-35.02%,12.51%,5.41%,-13.26%,-11.31%,20.20%,6.88%
56,15.85%,1.04%,-35.75%,-0.56%,12.16%,-17.09%,12.27%,3.53%
57,11.08%,-33.62%,-0.24%,20.37%,-10.71%,-14.80%,5.71%,-2.24%
58,12.65%,-12.12%,25.76%,-14.19%,1.42%,-15.04%,2.41%,-2.33%
59,9.05%,-34.02%,0.91%,-1.67%,-5.90%,-0.37%,23.67%,-31.99%
60,-27.38%,10.63%,2.61%,-3.56%,-1.06%,6.15%,2.04%,3.30%
61,-14.03%,6.62%,1.68%,-4.53%,-3.12%,15.71%,3.89%,-15.57%
62,32.62%,-37.61%,-4.47%,8.60%,-26.81%,10.47%,10.30%,5.24%
63,16.98%,-21.69%,10.69%,-5.89%,5.51%,-20.71%,1.63%,16.21%
64,14.10%,0.15%,4.55%,-3.62%,-22.50%,9.23%,-22.25%,23.75%
65,4.42%,18.08%,-20.92%,-21.52%,24.92%,-18.30%,5.16%,8.95%
66,10.48%,-21.12%,20.11%,4.64%,-60.70%,16.99%,3.04%,8.54%
67,-0.35%,-20.86%,11.29%,12.77%,-6.86%,0.02%,6.60%,-14.56%
68,-8.12%,14.00%,3.88%,1.18%,-9.28%,4.57%,-16.70%,17.80%
69,-7.05%,-21.21%,26.08%,-1.54%,-33.48%,18.87%,-12.28%,6.36%
70,18.51%,-21.91%,12.33%,-36.92%,22.82%,2.39%,18.24%,-29.21%
71,-1.18%,-14.19%,-13.01%,29.81%,-36.69%,28.69%,-30.12%,-7.07%
72,21.77%,-4.49%,16.56%,-52.18%,22.32%,-29.12%,18.58%,-2.31%
73,-17.70%,22.43%,24.10%,-22.18%,-24.66%,-6.95%,0.66%,15.41%
74,-8.60%,-7.96%,33.97%,-61.88%,22.95%,-7.25%,23.17%,-25.10%
75,-92.16%,42.43%,-41.04%,33.32%,-8.63%,-1.34%,11.53%,-15.75%
76,65.23%,-75.14%,36.41%,-61.43%,8.10%,6.76%,-8.09%,3.88%
77,12.37%,25.69%,-15.00%,-3.04%,-9.16%,30.31%,-22.42%,24.56%
78,18.10%,-66.77%,51.69%,-67.17%,26.27%,-26.96%,9.80%,26.26%
79,-35.57%,-19.01%,10.71%,36.73%,-93.02%,40.87%,-11.97%,1.25%
80,-225.39%,-26.47%,-54.33%,58.67%,-50.58%,3.66%,-3.48%,-30.74%
81,-30.05%,31.88%,-44.12%,49.57%,-82.28%,39.98%,-10.31%,9.13%
82,61.32%,-187.60%,4.68%,-77.91%,32.47%,-12.08%,39.12%,2.05%
83,45.22%,36.11%,82.52%,-459.78%,-2.94%,-34.67%,-18.51%,58.86%
84,90.38%,-183.64%,-39.24%,38.04%,22.26%,-72.37%,13.51%,12.70%
85,-108.33%,58.26%,34.75%,-5.22%,33.33%,-272.22%,36.47%,-44.89%
86,100.00%,0.00%,78.03%,-18.92%,-146.67%,-31.58%,-9.62%,13.33%
87,25.00%,83.84%,71.55%,-231.43%,-34.62%,59.38%,-113.33%,-28.05%
88,0.00%,0.00%,100.00%,0.00%,-250.00%,70.00%,-46.34%,-28.13%
89,0.00%,0.00%,0.00%,13.04%,-102.94%,78.21%,-36.84%,-265.38%
90,0.00%,0.00%,100.00%,0.00%,-17.65%,-325.00%,25.00%,-6.67%
91,0.00%,0.00%,0.00%,0.00%,36.36%,-37.50%,-166.67%,66.67%
92,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
93,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%
94,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
95,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
,,,,,,,,
