,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
18,-575%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
19,-40%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
20,23%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
21,-18%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
22,-31%,-4%,-4%,-4%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%
23,-7%,-4%,-4%,-4%,-4%,-4%,-4%,-3%,-3%,-3%,-3%,-3%
24,-14%,-5%,-5%,-5%,-4%,-4%,-4%,-4%,-4%,-4%,-4%,-3%
25,-8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
26,-30%,-4%,-4%,-4%,-4%,-4%,-4%,-3%,-3%,-3%,-3%,-3%
27,-119%,-5%,-5%,-5%,-4%,-4%,-4%,-4%,-4%,-4%,-3%,-3%
28,-10%,-5%,-4%,-4%,-4%,-4%,-4%,-4%,-4%,-3%,-3%,-3%
29,-5%,-5%,-5%,-5%,-4%,-4%,-4%,-4%,-4%,-4%,-4%,-3%
30,-23%,-6%,-5%,-5%,-5%,-5%,-4%,-4%,-4%,-4%,-4%,-4%
31,-26%,-6%,-5%,-5%,-5%,-5%,-4%,-4%,-4%,-4%,-4%,-4%
32,-36%,-4%,-4%,-4%,-4%,-4%,-4%,-3%,-3%,-3%,-3%,-3%
33,21%,-4%,-4%,-4%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%
34,17%,-5%,-5%,-4%,-4%,-4%,-4%,-4%,-4%,-4%,-3%,-3%
35,8%,-5%,-5%,-4%,-4%,-4%,-4%,-4%,-4%,-3%,-3%,-3%
36,12%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-2%,-2%
37,-16%,-4%,-4%,-4%,-4%,-4%,-3%,-3%,-3%,-3%,-3%,-3%
38,9%,-5%,-5%,-4%,-4%,-4%,-4%,-4%,-4%,-4%,-3%,-3%
39,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
40,-10%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%
41,-23%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-2%
42,13%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-2%
43,-6%,-3%,-3%,-3%,-3%,-3%,-2%,-2%,-2%,-2%,-2%,-2%
44,-43%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-2%,-2%,-2%,-2%
45,1%,-4%,-4%,-4%,-4%,-3%,-3%,-3%,-3%,-3%,-3%,-3%
46,2%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-3%,-2%,-2%
47,7%,-7%,1%,-3%,-1%,-2%,-1%,-2%,-2%,-2%,-2%,-2%
48,-14%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
49,15%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%
50,-21%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%
51,5%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%
52,-30%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%
53,10%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%
54,8%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%
55,-7%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
56,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
57,-4%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%
58,9%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
59,-1%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%
60,-8%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
61,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
62,-23%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%
63,-17%,-2%,-2%,-2%,-1%,-1%,-1%,-1%,-1%,-1%,-1%,-1%
64,-22%,-3%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%,-2%
