"Age","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"18","-13.541536","-7.940378","-3.488455","-1.428715","-0.800573","-0.660277","-0.637453","-0.573527","-0.414372","-0.301118","-0.194469","-0.01"
"19","-12.695692","-8.184416","-4.226114","-2.049012","-1.161049","-0.836658","-0.70967","-0.59944","-0.449944","-0.333615","-0.217222","-0.01"
"20","-11.787406","-8.825482","-5.572086","-3.196083","-1.867521","-1.207778","-0.881212","-0.670771","-0.513852","-0.381246","-0.248845","-0.01"
"21","-10.981343","-9.890977","-7.575791","-5.022483","-3.112666","-1.933724","-1.254742","-0.84176","-0.635734","-0.455379","-0.292789","-0.01"
"22","-10.383871","-11.176229","-10.000232","-7.489066","-5.037935","-3.215388","-1.995378","-1.21358","-0.87484","-0.583392","-0.359107","-0.01"
"23","-10.044568","-12.345733","-12.361854","-10.273369","-7.596873","-5.203113","-3.304444","-1.945522","-1.33305","-0.822809","-0.473674","-0.01"
"24","-10.00232","-13.177807","-14.187455","-12.855087","-10.46743","-7.852618","-5.32264","-3.227758","-2.152391","-1.273789","-0.689876","-0.01"
"25","-10.246309","-13.69544","-15.295693","-14.77887","-13.130282","-10.825365","-7.983159","-5.187828","-3.47809","-2.077762","-1.099057","-0.01"
"26","-10.582716","-14.008851","-15.827134","-15.902547","-15.122317","-13.568476","-10.925004","-7.755778","-5.381673","-3.382411","-1.824807","-0.01"
"27","-10.597687","-14.03665","-15.974689","-16.394254","-16.286494","-15.590632","-13.595227","-10.587809","-7.774078","-5.26514","-2.98464","-0.01"
"28","-9.867426","-13.452751","-15.692559","-16.460616","-16.7842","-16.738991","-15.534048","-13.164539","-10.375287","-7.641768","-4.614289","-0.01"
"29","-8.276456","-11.962251","-14.701485","-16.072441","-16.83495","-17.210459","-16.628635","-15.053089","-12.792422","-10.225064","-6.586991","-0.01"
"30","-6.137001","-9.626784","-12.791489","-14.975751","-16.43212","-17.254901","-17.086292","-16.138464","-14.683212","-12.599248","-8.601513","-0.01"
"31","-3.990925","-6.90565","-10.109511","-12.982058","-15.330514","-16.856741","-17.127309","-16.60046","-15.894056","-14.398292","-10.290712","-0.01"
"32","-2.284026","-4.38826","-7.153103","-10.24331","-13.327002","-15.731765","-16.699832","-16.636555","-16.460965","-15.472713","-11.408548","-0.01"
"33","-1.17995","-2.47917","-4.498493","-7.247931","-10.552084","-13.651388","-15.51761","-16.202123","-16.472493","-15.901765","-11.948441","-0.01"
"34","-0.593927","-1.271728","-2.514972","-4.561114","-7.48974","-10.762537","-13.387084","-15.040878","-15.924797","-15.827976","-12.070612","-0.01"
"35","-0.338755","-0.630023","-1.267244","-2.54837","-4.72286","-7.592","-10.491871","-12.980173","-14.713061","-15.26537","-11.889747","-0.01"
"36","-0.245197","-0.341871","-0.603081","-1.276151","-2.640768","-4.755344","-7.364828","-10.193368","-12.773551","-14.075945","-11.331583","-0.01"
"37","-0.208641","-0.229975","-0.304042","-0.595521","-1.323319","-2.645939","-4.597782","-7.179815","-10.242131","-12.148931","-10.214498","-0.01"
"38","-0.179876","-0.185506","-0.188945","-0.28792","-0.620056","-1.327546","-2.55414","-4.500077","-7.477164","-9.609434","-8.48101","-0.01"
"39","-0.14341","-0.156787","-0.146542","-0.170323","-0.304472","-0.632537","-1.281384","-2.506364","-4.919885","-6.849918","-6.345627","-0.01"
"40","-0.09983","-0.127077","-0.124023","-0.1292","-0.185524","-0.324305","-0.610663","-1.253238","-2.902727","-4.351724","-4.215612","-0.01"
"41","-0.058101","-0.096358","-0.103096","-0.109579","-0.145113","-0.209482","-0.312505","-0.58597","-1.540879","-2.45271","-2.467461","-0.01"
"42","-0.030293","-0.071604","-0.082129","-0.092062","-0.126593","-0.170731","-0.200623","-0.285815","-0.753741","-1.235384","-1.274735","-0.01"
"43","-0.025246","-0.05928","-0.064433","-0.07323","-0.109495","-0.152242","-0.162025","-0.171747","-0.36544","-0.577579","-0.595567","-0.01"
"44","-0.043882","-0.061266","-0.052992","-0.055442","-0.090545","-0.134729","-0.143254","-0.132197","-0.202075","-0.279618","-0.274062","-0.01"
"45","-0.078158","-0.073967","-0.048192","-0.041292","-0.071913","-0.114999","-0.125436","-0.113371","-0.141413","-0.167522","-0.149808","-0.01"
"46","-0.114252","-0.090233","-0.048212","-0.031975","-0.05655","-0.095695","-0.105803","-0.096158","-0.116911","-0.131214","-0.111674","-0.01"
"47","-0.138765","-0.102729","-0.050389","-0.027272","-0.04604","-0.079882","-0.086847","-0.077276","-0.100453","-0.116836","-0.101272","-0.01"
"48","-0.144972","-0.107176","-0.052474","-0.026168","-0.040495","-0.069163","-0.071516","-0.059066","-0.084172","-0.104456","-0.094716","-0.01"
"49","-0.135453","-0.103966","-0.053388","-0.02733","-0.039075","-0.063639","-0.061299","-0.044294","-0.068107","-0.089866","-0.085376","-0.01"
"50","-0.119155","-0.097126","-0.053351","-0.02947","-0.040411","-0.062429","-0.056229","-0.034421","-0.0544","-0.074862","-0.073975","-0.01"
"51","-0.105165","-0.091323","-0.053387","-0.031745","-0.043013","-0.064073","-0.055355","-0.029491","-0.044616","-0.062016","-0.062879","-0.01"
"52","-0.097791","-0.089013","-0.054418","-0.033975","-0.045772","-0.066933","-0.057146","-0.028572","-0.03918","-0.053115","-0.054301","-0.01"
"53","-0.096111","-0.089648","-0.056462","-0.036344","-0.048304","-0.069794","-0.059963","-0.030179","-0.037444","-0.048453","-0.049083","-0.01"
"54","-0.096836","-0.090927","-0.058466","-0.03876","-0.050743","-0.072287","-0.062674","-0.032743","-0.038191","-0.047287","-0.046995","-0.01"
"55","-0.097157","-0.090625","-0.058863","-0.040432","-0.053061","-0.074643","-0.065014","-0.035211","-0.040159","-0.048406","-0.047238","-0.01"
"56","-0.095631","-0.087637","-0.056474","-0.040143","-0.054578","-0.076918","-0.067259","-0.037361","-0.042461","-0.050588","-0.048795","-0.01"
"57","-0.09161","-0.082041","-0.051189","-0.037052","-0.05416","-0.078429","-0.069446","-0.039475","-0.044719","-0.052965","-0.050735","-0.01"
"58","-0.084716","-0.074698","-0.044096","-0.031388","-0.051008","-0.077986","-0.07086","-0.041588","-0.046866","-0.055192","-0.052529","-0.01"
"59","-0.075308","-0.066999","-0.037062","-0.024535","-0.045365","-0.074751","-0.070324","-0.043","-0.048714","-0.057266","-0.054132","-0.01"
"60","-0.065147","-0.060609","-0.031967","-0.018459","-0.038612","-0.068982","-0.067039","-0.04255","-0.049702","-0.059073","-0.055678","-0.01"
"61","-0.057274","-0.057055","-0.029923","-0.014792","-0.03268","-0.062104","-0.061294","-0.039441","-0.049043","-0.060063","-0.057001","-0.01"
"62","-0.054344","-0.057009","-0.030837","-0.014108","-0.029146","-0.056097","-0.054513","-0.033931","-0.046223","-0.059392","-0.057466","-0.01"
"63","-0.056389","-0.059633","-0.033525","-0.015775","-0.028534","-0.052554","-0.048634","-0.027389","-0.041468","-0.056485","-0.056305","-0.01"
"64","-0.059899","-0.06258","-0.036309","-0.018442","-0.030192","-0.051967","-0.045193","-0.021692","-0.035817","-0.051576","-0.053222","-0.01"
"65","-0.059697","-0.063094","-0.037789","-0.020807","-0.032803","-0.053633","-0.044632","-0.018332","-0.030729","-0.045793","-0.048754","-0.01"
"66","-0.052647","-0.059739","-0.037441","-0.022169","-0.035137","-0.0562","-0.046239","-0.017747","-0.027433","-0.040703","-0.044113","-0.01"
"67","-0.040291","-0.053518","-0.035762","-0.022527","-0.03656","-0.058449","-0.048692","-0.019256","-0.026415","-0.037595","-0.040623","-0.01"
"68","-0.028087","-0.047343","-0.033881","-0.022313","-0.03708","-0.059786","-0.050816","-0.021591","-0.027306","-0.036924","-0.039106","-0.01"
"69","-0.021767","-0.044119","-0.032824","-0.022006","-0.037057","-0.060251","-0.052045","-0.023613","-0.029188","-0.038206","-0.039545","-0.01"
"70","-0.023732","-0.044932","-0.032903","-0.021848","-0.036878","-0.060218","-0.052433","-0.024773","-0.031102","-0.040393","-0.041211","-0.01"
"71","-0.031916","-0.048582","-0.033609","-0.021738","-0.036737","-0.060085","-0.052364","-0.025116","-0.032441","-0.042446","-0.043129","-0.01"
"72","-0.041378","-0.052541","-0.034042","-0.021356","-0.036566","-0.060046","-0.052234","-0.025005","-0.033072","-0.043776","-0.044579","-0.01"
"73","-0.047379","-0.054539","-0.033524","-0.020422","-0.036113","-0.059998","-0.052209","-0.024812","-0.033191","-0.044322","-0.045315","-0.01"
"74","-0.047872","-0.053706","-0.031927","-0.018898","-0.035144","-0.059628","-0.05215","-0.024698","-0.033071","-0.044347","-0.045475","-0.01"
"75","-0.04409","-0.050707","-0.029581","-0.016957","-0.033612","-0.058648","-0.051731","-0.024546","-0.032859","-0.044151","-0.045342","-0.01"
"76","-0.039434","-0.047173","-0.026977","-0.014796","-0.031652","-0.057015","-0.050697","-0.024067","-0.032507","-0.043883","-0.045133","-0.01"
"77","-0.037995","-0.045142","-0.024678","-0.012523","-0.029424","-0.054916","-0.049042","-0.02303","-0.031847","-0.043492","-0.044906","-0.01"
"78","-0.043525","-0.046794","-0.023497","-0.010294","-0.027008","-0.05255","-0.046956","-0.021423","-0.030732","-0.042806","-0.044562","-0.01"
"79","-0.05828","-0.053919","-0.024545","-0.008589","-0.024524","-0.049989","-0.044602","-0.019405","-0.029134","-0.041674","-0.043938","-0.01"
"80","-0.081283","-0.06666","-0.028706","-0.008279","-0.022405","-0.047315","-0.042024","-0.017123","-0.027136","-0.040074","-0.042936","-0.01"
"81","-0.107497","-0.082438","-0.035681","-0.010202","-0.021515","-0.044961","-0.039327","-0.014638","-0.024859","-0.038105","-0.041592","-0.01"
"82","-0.129567","-0.09652","-0.043511","-0.014373","-0.022783","-0.043872","-0.037029","-0.012095","-0.022452","-0.035907","-0.040022","-0.01"
"83","-0.141106","-0.104319","-0.049345","-0.019529","-0.026423","-0.045116","-0.036153","-0.01002","-0.020185","-0.033614","-0.03832","-0.01"
"84","-0.139161","-0.103795","-0.051203","-0.023685","-0.031392","-0.048996","-0.037739","-0.009368","-0.018566","-0.031454","-0.03656","-0.01"
"85","-0.124442","-0.096196","-0.049419","-0.025583","-0.035824","-0.054389","-0.041922","-0.011048","-0.018274","-0.029873","-0.034922","-0.01"
"86","-0.100826","-0.085147","-0.046533","-0.025829","-0.038363","-0.059173","-0.047367","-0.015084","-0.0198","-0.029508","-0.033816","-0.01"
"87","-0.075254","-0.075252","-0.045743","-0.026578","-0.039299","-0.061698","-0.051832","-0.020119","-0.022946","-0.030824","-0.033774","-0.01"
"88","-0.056607","-0.070723","-0.049023","-0.029876","-0.040315","-0.062025","-0.053646","-0.023934","-0.026588","-0.033554","-0.035025","-0.01"
"89","-0.051896","-0.073711","-0.056064","-0.035984","-0.042883","-0.06158","-0.052763","-0.024797","-0.029021","-0.036393","-0.03698","-0.01"
