"Age","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
"18","-2.264488","-1.136047","-0.338597","-0.057094","-0.007333","-0.002826","-0.002537","-0.002454","-0.002398","-0.002371","-0.002346","-0.002315"
"19","-1.667652","-0.838533","-0.252563","-0.045588","-0.008819","-0.005339","-0.005003","-0.00483","-0.004712","-0.004652","-0.00459","-0.004515"
"20","-1.118629","-0.565655","-0.174777","-0.03651","-0.011658","-0.009064","-0.00863","-0.008316","-0.008099","-0.00798","-0.007849","-0.007692"
"21","-0.691415","-0.354305","-0.11591","-0.0313","-0.015686","-0.013716","-0.013139","-0.012642","-0.012342","-0.011985","-0.011372","-0.01"
"22","-0.413422","-0.217827","-0.079375","-0.029888","-0.020262","-0.018637","-0.017899","-0.017203","-0.016737","-0.016019","-0.014306","-0.01"
"23","-0.267615","-0.147297","-0.061979","-0.031123","-0.024625","-0.023132","-0.022248","-0.021371","-0.020724","-0.019645","-0.016922","-0.01"
"24","-0.2139","-0.122464","-0.057485","-0.033713","-0.028362","-0.026872","-0.025876","-0.024864","-0.024031","-0.022616","-0.019041","-0.01"
"25","-0.209978","-0.12225","-0.059796","-0.036828","-0.031549","-0.029994","-0.028917","-0.02782","-0.02681","-0.025088","-0.020786","-0.01"
"26","-0.222116","-0.129966","-0.064261","-0.040047","-0.034484","-0.032829","-0.031673","-0.030522","-0.029367","-0.027373","-0.022404","-0.01"
"27","-0.228514","-0.13477","-0.067791","-0.04302","-0.037291","-0.035521","-0.034252","-0.033051","-0.031806","-0.029597","-0.024008","-0.01"
"28","-0.219616","-0.131752","-0.068783","-0.045327","-0.039769","-0.037895","-0.03647","-0.035195","-0.03393","-0.03159","-0.025483","-0.01"
"29","-0.195696","-0.120825","-0.066927","-0.0466","-0.041555","-0.039615","-0.038018","-0.036648","-0.035419","-0.03304","-0.026594","-0.01"
"30","-0.161716","-0.104324","-0.062715","-0.04668","-0.042378","-0.040443","-0.038723","-0.037269","-0.036092","-0.033738","-0.027158","-0.01"
"31","-0.122522","-0.084676","-0.056864","-0.045663","-0.042217","-0.040374","-0.038644","-0.03717","-0.036018","-0.033697","-0.027151","-0.01"
"32","-0.081992","-0.063946","-0.050142","-0.043852","-0.041285","-0.039614","-0.038008","-0.036609","-0.035431","-0.033113","-0.026695","-0.01"
"33","-0.044393","-0.044419","-0.043418","-0.041627","-0.039887","-0.038436","-0.037047","-0.035801","-0.034559","-0.032209","-0.025961","-0.01"
"34","-0.014588","-0.02861","-0.037553","-0.039294","-0.038248","-0.037021","-0.035862","-0.034797","-0.033496","-0.031113","-0.025072","-0.01"
"35","0.004023","-0.018226","-0.033062","-0.03697","-0.036427","-0.035394","-0.034417","-0.033515","-0.032205","-0.029844","-0.024079","-0.01"
"36","0.011272","-0.013343","-0.029956","-0.034642","-0.034397","-0.03352","-0.032667","-0.031894","-0.030652","-0.028402","-0.023004","-0.01"
"37","0.00961","-0.012795","-0.02797","-0.03234","-0.032221","-0.03147","-0.030709","-0.030042","-0.028939","-0.026879","-0.021914","-0.01"
