"Age","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
18,"-226.4%","-113.6%","-33.9%","-5.7%","-0.7%","-0.3%","-0.3%","-0.2%","-0.2%","-0.2%","-0.2%","-0.2%"
19,"-166.8%","-83.9%","-25.3%","-4.6%","-0.9%","-0.5%","-0.5%","-0.5%","-0.5%","-0.5%","-0.5%","-0.5%"
20,"-111.9%","-56.6%","-17.5%","-3.7%","-1.2%","-0.9%","-0.9%","-0.8%","-0.8%","-0.8%","-0.8%","-0.8%"
21,"-69.1%","-35.4%","-11.6%","-3.1%","-1.6%","-1.4%","-1.3%","-1.3%","-1.2%","-1.2%","-1.1%","-1.0%"
22,"-41.3%","-21.8%","-7.9%","-3.0%","-2.0%","-1.9%","-1.8%","-1.7%","-1.7%","-1.6%","-1.4%","-1.0%"
23,"-26.8%","-14.7%","-6.2%","-3.1%","-2.5%","-2.3%","-2.2%","-2.1%","-2.1%","-2.0%","-1.7%","-1.0%"
24,"-21.4%","-12.2%","-5.7%","-3.4%","-2.8%","-2.7%","-2.6%","-2.5%","-2.4%","-2.3%","-1.9%","-1.0%"
25,"-21.0%","-12.2%","-6.0%","-3.7%","-3.2%","-3.0%","-2.9%","-2.8%","-2.7%","-2.5%","-2.1%","-1.0%"
26,"-22.2%","-13.0%","-6.4%","-4.0%","-3.4%","-3.3%","-3.2%","-3.1%","-2.9%","-2.7%","-2.2%","-1.0%"
27,"-22.9%","-13.5%","-6.8%","-4.3%","-3.7%","-3.6%","-3.4%","-3.3%","-3.2%","-3.0%","-2.4%","-1.0%"
28,"-22.0%","-13.2%","-6.9%","-4.5%","-4.0%","-3.8%","-3.6%","-3.5%","-3.4%","-3.2%","-2.5%","-1.0%"
29,"-19.6%","-12.1%","-6.7%","-4.7%","-4.2%","-4.0%","-3.8%","-3.7%","-3.5%","-3.3%","-2.7%","-1.0%"
30,"-16.2%","-10.4%","-6.3%","-4.7%","-4.2%","-4.0%","-3.9%","-3.7%","-3.6%","-3.4%","-2.7%","-1.0%"
31,"-12.3%","-8.5%","-5.7%","-4.6%","-4.2%","-4.0%","-3.9%","-3.7%","-3.6%","-3.4%","-2.7%","-1.0%"
