,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
0,-1.46%,-2.54%,-2.45%,1.07%,1.11%,-2.40%,0.34%,-0.98%,1.75%,-0.52%,-1.41%,0.66%
1,8.83%,-2.55%,-2.68%,1.14%,-0.06%,0.28%,-2.56%,0.64%,-0.07%,1.31%,-2.13%,0.27%
2,5.40%,-1.68%,-3.21%,0.88%,1.14%,-1.03%,-2.02%,-0.77%,2.30%,-1.00%,-0.91%,-1.28%
3,12.44%,-1.68%,-2.62%,0.48%,2.17%,-1.32%,-2.28%,-0.74%,-0.55%,1.05%,-1.53%,-0.04%
4,6.86%,-1.68%,-2.62%,2.21%,-0.30%,-1.33%,-0.94%,-1.31%,0.97%,-0.22%,-1.76%,-0.73%
5,22.58%,-6.89%,-2.62%,2.21%,0.67%,-1.70%,-1.23%,-0.27%,-0.66%,-0.45%,-2.31%,1.14%
6,13.76%,-3.06%,-7.89%,2.21%,0.67%,-1.47%,-1.15%,-0.09%,0.15%,-1.02%,-1.03%,-1.78%
7,9.67%,0.39%,-4.02%,-2.80%,0.67%,-1.47%,-0.81%,-0.23%,1.15%,-1.48%,-1.62%,-0.48%
8,12.18%,2.09%,-0.54%,0.88%,-4.43%,-1.47%,-0.81%,0.56%,-0.04%,-0.37%,-1.91%,-1.17%
9,10.24%,-1.47%,1.17%,4.20%,-0.68%,-6.67%,-0.81%,0.56%,0.98%,-0.26%,-2.34%,-0.45%
10,7.14%,0.52%,-2.42%,5.83%,2.69%,-2.85%,-5.97%,0.56%,0.98%,0.38%,-2.16%,-0.61%
11,18.45%,-2.49%,-0.41%,2.41%,4.34%,0.60%,-2.18%,-4.54%,0.98%,0.38%,-1.28%,-0.93%
12,13.50%,0.05%,-3.45%,4.32%,0.87%,2.29%,1.24%,-0.80%,-4.09%,0.38%,-1.28%,-0.20%
13,15.10%,-1.81%,-0.89%,1.43%,2.81%,-1.26%,2.92%,2.58%,-0.36%,-4.73%,-1.28%,-0.20%
14,17.96%,1.63%,-2.76%,3.87%,-0.13%,0.73%,-0.60%,4.23%,3.00%,-0.98%,-6.47%,-0.20%
15,15.66%,2.79%,0.71%,2.08%,2.35%,-2.28%,1.37%,0.75%,4.65%,2.40%,-2.65%,-5.34%
16,0.57%,-1.71%,1.88%,5.39%,0.53%,0.25%,-1.61%,2.70%,1.18%,4.06%,0.78%,-1.56%
17,-0.13%,3.06%,-2.66%,6.51%,3.90%,-1.60%,0.90%,-0.24%,3.12%,0.58%,2.47%,1.84%
18,5.42%,-3.80%,2.15%,2.18%,5.03%,1.83%,-0.94%,2.24%,0.19%,2.53%,-1.07%,3.51%
19,11.06%,-3.77%,-4.77%,6.76%,0.63%,2.99%,2.47%,0.42%,2.66%,-0.42%,0.91%,0.00%
20,8.92%,-1.52%,-4.74%,0.17%,5.29%,-1.50%,3.62%,3.79%,0.85%,2.07%,-2.09%,1.96%
21,12.23%,-3.73%,-2.46%,0.20%,-1.40%,3.26%,-0.84%,4.92%,4.20%,0.24%,0.44%,-1.00%
22,18.08%,-1.18%,-4.69%,2.37%,-1.38%,-3.58%,3.89%,0.52%,5.33%,3.62%,-1.41%,1.50%
23,15.11%,-0.16%,-2.12%,0.24%,0.82%,-3.55%,-2.91%,5.18%,0.95%,4.75%,2.02%,-0.34%
24,20.76%,0.97%,-1.10%,2.69%,-1.34%,-1.31%,-2.88%,-1.52%,5.59%,0.34%,3.17%,3.06%
25,11.96%,0.27%,0.04%,3.67%,1.16%,-3.51%,-0.65%,-1.49%,-1.08%,5.01%,-1.31%,4.20%
26,11.61%,0.89%,-0.66%,4.76%,2.14%,-0.97%,-2.84%,0.71%,-1.05%,-1.70%,3.44%,-0.24%
