,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035
0,2.80%,0.54%,1.67%,-1.13%,2.37%,-2.23%,1.77%,-1.62%,1.80%,-0.39%,-0.34%,0.84%
1,16.67%,1.57%,0.10%,0.21%,0.81%,0.23%,-0.78%,1.06%,-0.53%,1.40%,-1.12%,0.08%
2,19.86%,0.78%,1.21%,-1.31%,2.47%,-1.31%,0.95%,-0.92%,1.24%,-0.03%,-0.03%,0.03%
3,14.61%,0.78%,0.68%,-0.55%,1.42%,0.31%,0.10%,0.85%,-2.22%,1.67%,-0.75%,1.85%
4,12.65%,0.78%,0.68%,-0.95%,2.16%,-0.63%,0.85%,-1.24%,0.98%,-0.16%,0.06%,0.30%
5,13.18%,6.47%,0.68%,-0.95%,1.82%,-0.21%,0.42%,0.31%,-0.06%,0.96%,-2.58%,1.45%
6,5.70%,1.75%,6.38%,-0.95%,1.82%,-1.36%,1.26%,0.80%,-0.31%,-0.73%,0.07%,-0.49%
7,5.56%,1.29%,1.66%,4.84%,1.82%,-1.36%,0.96%,0.57%,-0.74%,1.02%,-1.14%,1.10%
8,-3.19%,3.56%,1.20%,0.04%,7.45%,-1.36%,0.96%,-0.34%,1.41%,0.23%,-1.15%,0.14%
9,8.93%,0.99%,3.46%,-0.42%,2.78%,4.45%,0.96%,-0.34%,-0.02%,1.55%,-1.12%,-0.31%
10,0.27%,2.55%,0.89%,1.88%,2.33%,-0.36%,6.64%,-0.34%,-0.02%,0.87%,-0.44%,0.22%
11,5.67%,1.21%,2.46%,-0.73%,4.57%,-0.83%,1.93%,5.41%,-0.02%,0.87%,-1.11%,1.68%
12,7.31%,1.27%,1.11%,0.86%,2.03%,1.48%,1.47%,0.64%,5.71%,0.87%,-1.11%,1.09%
13,16.20%,1.97%,1.17%,-0.51%,3.58%,-1.14%,3.73%,0.18%,0.96%,6.55%,-1.11%,1.09%
14,12.62%,3.64%,1.88%,-0.45%,2.25%,0.45%,1.17%,2.47%,0.50%,1.84%,4.69%,1.09%
15,14.30%,5.20%,3.54%,0.27%,2.31%,-0.92%,2.73%,-0.13%,2.78%,1.38%,-0.12%,6.76%
16,9.16%,2.51%,5.11%,1.96%,3.00%,-0.86%,1.39%,1.45%,0.19%,3.64%,-0.59%,2.06%
17,1.14%,4.82%,2.42%,3.55%,4.65%,-0.14%,1.45%,0.09%,1.76%,1.08%,1.72%,1.60%
18,-1.30%,-1.03%,4.73%,0.82%,6.20%,1.56%,2.15%,0.15%,0.41%,2.64%,-0.90%,3.86%
19,-0.43%,-0.78%,-1.13%,3.17%,3.54%,3.16%,3.81%,0.86%,0.47%,1.29%,0.70%,1.30%
20,-0.69%,0.23%,-0.88%,-2.79%,5.82%,0.41%,5.38%,2.55%,1.18%,1.36%,-0.67%,2.86%
21,-1.86%,-0.34%,0.14%,-2.54%,0.03%,2.77%,2.69%,4.13%,2.86%,2.06%,-0.61%,1.52%
22,2.51%,-1.16%,-0.43%,-1.50%,0.28%,-3.20%,5.00%,1.41%,4.44%,3.72%,0.11%,1.58%
23,5.28%,1.40%,-1.26%,-2.08%,1.28%,-2.95%,-0.84%,3.75%,1.72%,5.29%,1.80%,2.28%
24,5.08%,2.39%,1.31%,-2.92%,0.72%,-1.91%,-0.60%,-2.17%,4.05%,2.60%,3.40%,3.94%
25,10.09%,0.91%,2.29%,-0.31%,-0.09%,-2.50%,0.42%,-1.92%,-1.85%,4.91%,0.66%,5.50%
26,8.16%,3.25%,0.81%,0.69%,2.44%,-3.34%,-0.15%,-0.89%,-1.60%,-0.94%,3.01%,2.82%
27,12.23%,0.16%,3.15%,-0.81%,3.42%,-0.72%,-0.97%,-1.47%,-0.57%,-0.69%,-2.95%,5.12%
28,13.64%,0.85%,0.06%,1.56%,1.95%,0.29%,1.58%,-2.30%,-1.15%,0.32%,-2.70%,-0.71%
29,11.40%,1.95%,0.75%,-1.58%,4.26%,-1.22%,2.57%,0.29%,-1.98%,-0.25%,-1.67%,-0.46%
30,13.81%,3.12%,1.85%,-0.88%,1.21%,1.16%,1.09%,1.29%,0.61%,-1.07%,-2.25%,0.55%
31,12.01%,3.08%,3.02%,0.24%,1.89%,-1.99%,3.42%,-0.21%,1.60%,1.49%,-3.08%,-0.02%
