"Age","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
0,"1.23%","-0.32%","-0.84%","-0.34%","-0.14%","-0.49%","-0.59%","-0.25%","0.02%","-0.16%","-0.37%","-0.19%"
1,"2.55%","0.32%","-0.68%","-0.33%","-0.14%","-0.51%","-0.66%","-0.33%","-0.05%","-0.21%","-0.43%","-0.30%"
2,"3.95%","0.99%","-0.51%","-0.33%","-0.16%","-0.54%","-0.72%","-0.42%","-0.13%","-0.28%","-0.51%","-0.42%"
3,"5.25%","1.61%","-0.38%","-0.35%","-0.20%","-0.59%","-0.78%","-0.48%","-0.21%","-0.36%","-0.60%","-0.53%"
4,"6.32%","2.13%","-0.26%","-0.38%","-0.28%","-0.66%","-0.82%","-0.52%","-0.28%","-0.44%","-0.68%","-0.63%"
5,"7.06%","2.54%","-0.12%","-0.40%","-0.36%","-0.74%","-0.85%","-0.53%","-0.32%","-0.52%","-0.77%","-0.72%"
6,"7.48%","2.86%","0.07%","-0.34%","-0.42%","-0.83%","-0.89%","-0.53%","-0.34%","-0.57%","-0.83%","-0.80%"
7,"7.67%","3.13%","0.33%","-0.18%","-0.40%","-0.88%","-0.93%","-0.54%","-0.34%","-0.59%","-0.88%","-0.86%"
8,"7.77%","3.38%","0.66%","0.10%","-0.25%","-0.85%","-0.95%","-0.55%","-0.34%","-0.60%","-0.91%","-0.90%"
9,"7.93%","3.64%","1.00%","0.45%","0.03%","-0.69%","-0.88%","-0.54%","-0.35%","-0.61%","-0.93%","-0.92%"
10,"8.18%","3.89%","1.29%","0.79%","0.37%","-0.41%","-0.70%","-0.46%","-0.33%","-0.62%","-0.95%","-0.95%"
11,"8.46%","4.11%","1.51%","1.06%","0.71%","-0.06%","-0.41%","-0.27%","-0.25%","-0.61%","-0.98%","-0.99%"
12,"8.59%","4.25%","1.67%","1.26%","0.99%","0.28%","-0.05%","0.03%","-0.20%","-0.52%","-0.82%","-1.00%"
13,"8.40%","4.23%","1.76%","1.41%","1.19%","0.56%","0.29%","0.38%","0.07%","-0.33%","-0.73%","-1.00%"
14,"7.80%","4.00%","1.79%","1.54%","1.34%","0.76%","0.57%","0.73%","0.60%","-0.04%","-0.71%","-0.96%"
15,"6.91%","3.57%","1.74%","1.64%","1.48%","0.92%","0.77%","1.00%","0.94%","0.32%","-0.40%","-0.72%"
16,"5.98%","3.06%","1.58%","1.67%","1.59%","1.06%","0.92%","1.20%","1.22%","0.67%","-0.02%","-0.35%"
17,"5.35%","2.61%","1.32%","1.59%","1.64%","1.17%","1.06%","1.36%","1.42%","0.95%","0.33%","0.05%"
18,"5.25%","2.35%","1.02%","1.38%","1.57%","1.22%","1.18%","1.50%","1.58%","1.15%","0.61%","0.39%"
19,"5.70%","2.38%","0.76%","1.06%","1.36%","1.15%","1.23%","1.61%","1.71%","1.30%","0.80%","0.63%"
20,"6.55%","2.67%","0.61%","0.73%","1.03%","0.94%","1.16%","1.66%","1.83%","1.44%","0.94%","0.78%"
21,"7.54%","3.14%","0.62%","0.48%","0.68%","0.61%","0.94%","1.59%","1.88%","1.56%","1.08%","0.91%"
22,"8.42%","3.66%","0.79%","0.39%","0.40%","0.25%","0.60%","1.37%","1.81%","1.61%","1.19%","1.05%"
23,"8.96%","4.08%","1.06%","0.48%","0.30%","-0.03%","0.25%","1.04%","1.59%","1.54%","1.24%","1.17%"
24,"9.09%","4.31%","1.34%","0.71%","0.38%","-0.13%","-0.03%","0.69%","1.26%","1.32%","1.17%","1.21%"
25,"8.86%","4.33%","1.56%","1.00%","0.61%","-0.05%","-0.13%","0.42%","0.91%","0.99%","0.94%","1.08%"
26,"8.41%","4.17%","1.66%","1.25%","0.90%","0.18%","-0.04%","0.31%","0.64%","0.63%","0.58%","0.78%"
27,"7.92%","3.94%","1.66%","1.40%","1.17%","0.48%","0.19%","0.40%","0.53%","0.35%","0.20%","0.37%"
28,"7.50%","3.70%","1.59%","1.46%","1.33%","0.74%","0.49%","0.63%","0.62%","0.24%","-0.08%","-0.02%"
29,"7.16%","3.49%","1.48%","1.42%","1.40%","0.91%","0.75%","0.92%","0.85%","0.33%","-0.17%","-0.27%"
30,"6.83%","3.27%","1.34%","1.34%","1.37%","0.97%","0.92%","1.19%","1.14%","0.57%","-0.06%","-0.29%"
31,"6.38%","2.99%","1.19%","1.24%","1.29%","0.95%","0.98%","1.35%","1.40%","0.86%","0.20%","-0.09%"
32,"5.73%","2.60%","0.99%","1.12%","1.20%","0.87%","0.95%","1.41%","1.57%","1.13%","0.51%","0.23%"
33,"4.82%","2.06%","0.73%","0.97%","1.08%","0.77%","0.88%","1.39%","1.63%","1.30%","0.79%","0.57%"
34,"3.68%","1.37%","0.39%","0.79%","0.95%","0.66%","0.78%","1.31%","1.61%","1.36%","0.95%","0.82%"
35,"2.43%","0.59%","-0.03%","0.55%","0.79%","0.53%","0.67%","1.21%","1.53%","1.33%","1.00%","0.94%"
36,"1.23%","-0.20%","-0.50%","0.24%","0.57%","0.37%","0.54%","1.10%","1.43%","1.25%","0.96%","0.94%"
37,"0.22%","-0.92%","-0.99%","-0.13%","0.28%","0.15%","0.37%","0.97%","1.32%","1.15%","0.87%","0.86%"
38,"-0.54%","-1.50%","-1.44%","-0.53%","-0.07%","-0.14%","0.15%","0.81%","1.19%","1.04%","0.76%","0.76%"
39,"-1.10%","-1.94%","-1.82%","-0.91%","-0.46%","-0.49%","-0.14%","0.59%","1.03%","0.91%","0.65%","0.66%"
40,"-1.53%","-2.27%","-2.13%","-1.25%","-0.84%","-0.88%","-0.49%","0.30%","0.81%","0.75%","0.52%","0.54%"
41,"-1.91%","-2.55%","-2.36%","-1.52%","-1.17%","-1.26%","-0.88%","-0.05%","0.53%","0.53%","0.36%","0.41%"
42,"-2.30%","-2.81%","-2.55%","-1.72%","-1.43%","-1.59%","-1.26%","-0.44%","0.17%","0.24%","0.13%","0.23%"
43,"-2.69%","-3.08%","-2.73%","-1.88%","-1.63%","-1.86%","-1.59%","-0.81%","-0.21%","-0.11%","-0.16%","-0.01%"
44,"-3.06%","-3.35%","-2.92%","-2.03%","-1.79%","-2.05%","-1.85%","-1.14%","-0.59%","-0.50%","-0.52%","-0.33%"
45,"-3.34%","-3.59%","-3.11%","-2.19%","-1.93%","-2.21%","-2.05%","-1.40%","-0.92%","-0.88%","-0.92%","-0.72%"
46,"-3.47%","-3.74%","-3.29%","-2.37%","-2.09%","-2.36%","-2.21%","-1.60%","-1.36%","-1.24%","-1.19%","-1.00%"
47,"-3.40%","-3.75%","-3.39%","-2.53%","-2.27%","-2.52%","-2.35%","-1.76%","-1.56%","-1.48%","-1.39%","-1.00%"
48,"-3.10%","-3.59%","-3.37%","-2.62%","-2.43%","-2.69%","-2.51%","-1.90%","-1.73%","-1.67%","-1.55%","-1.00%"
49,"-2.59%","-3.23%","-3.20%","-2.61%","-2.52%","-2.85%","-2.69%","-2.06%","-1.88%","-1.82%","-1.67%","-1.00%"
50,"-1.92%","-2.72%","-2.87%","-2.45%","-2.51%","-2.95%","-2.85%","-2.23%","-2.04%","-1.96%","-1.78%","-1.00%"
51,"-1.19%","-2.14%","-2.43%","-2.15%","-2.36%","-2.94%","-2.95%","-2.39%","-2.20%","-2.11%","-1.88%","-1.00%"
52,"-0.52%","-1.57%","-1.95%","-1.75%","-2.07%","-2.78%","-2.93%","-2.49%","-2.34%","-2.26%","-1.99%","-1.00%"
53,"-0.02%","-1.09%","-1.48%","-1.30%","-1.67%","-2.49%","-2.78%","-2.48%","-2.41%","-2.39%","-2.11%","-1.00%"
54,"0.28%","-0.76%","-1.10%","-0.87%","-1.23%","-2.09%","-2.48%","-2.32%","-2.38%","-2.46%","-2.20%","-1.00%"
55,"0.40%","-0.57%","-0.82%","-0.49%","-0.80%","-1.65%","-2.09%","-2.03%","-2.23%","-2.42%","-2.22%","-1.00%"
56,"0.43%","-0.47%","-0.63%","-0.21%","-0.42%","-1.21%","-1.64%","-1.64%","-1.95%","-2.26%","-2.16%","-1.00%"
57,"0.44%","-0.41%","-0.50%","-0.02%","-0.14%","-0.84%","-1.21%","-1.19%","-1.58%","-1.98%","-2.00%","-1.00%"
58,"0.45%","-0.34%","-0.40%","0.12%","0.06%","-0.56%","-0.83%","-0.76%","-1.17%","-1.62%","-1.75%","-1.00%"
59,"0.45%","-0.28%","-0.30%","0.24%","0.20%","-0.36%","-0.55%","-0.39%","-0.76%","-1.21%","-1.46%","-1.00%"
60,"0.43%","-0.24%","-0.21%","0.35%","0.32%","-0.21%","-0.35%","-0.11%","-0.40%","-0.82%","-1.15%","-1.00%"
61,"0.37%","-0.26%","-0.16%","0.44%","0.43%","-0.09%","-0.21%","0.09%","-0.12%","-0.49%","-0.86%","-1.00%"
62,"0.25%","-0.35%","-0.19%","0.48%","0.52%","0.02%","-0.09%","0.23%","0.09%","-0.23%","-0.64%","-1.00%"
63,"0.12%","-0.49%","-0.30%","0.44%","0.56%","0.11%","0.02%","0.35%","0.45%","0.04%","-0.51%","-0.72%"
64,"0.00%","-0.65%","-0.47%","0.33%","0.52%","0.15%","0.11%","0.46%","0.57%","0.18%","-0.32%","-0.49%"
65,"-0.06%","-0.80%","-0.67%","0.14%","0.40%","0.11%","0.15%","0.55%","0.68%","0.30%","-0.19%","-0.34%"
66,"-0.04%","-0.91%","-0.87%","-0.07%","0.22%","-0.01%","0.11%","0.59%","0.77%","0.41%","-0.08%","-0.22%"
67,"0.08%","-0.95%","-1.03%","-0.29%","-0.00%","-0.20%","-0.01%","0.55%","0.81%","0.50%","0.03%","-0.11%"
68,"0.33%","-0.91%","-1.16%","-0.49%","-0.22%","-0.42%","-0.20%","0.43%","0.77%","0.54%","0.13%","0.00%"
69,"0.71%","-0.77%","-1.21%","-0.65%","-0.43%","-0.64%","-0.42%","0.25%","0.65%","0.50%","0.17%","0.09%"
70,"1.23%","-0.52%","-1.19%","-0.75%","-0.60%","-0.85%","-0.64%","0.03%","0.47%","0.37%","0.12%","0.11%"
71,"1.89%","-0.17%","-1.08%","-0.77%","-0.71%","-1.02%","-0.85%","-0.20%","0.25%","0.19%","-0.01%","0.04%"
72,"2.66%","0.30%","-0.87%","-0.72%","-0.75%","-1.13%","-1.02%","-0.40%","0.03%","-0.03%","-0.21%","-0.13%"
73,"3.49%","0.85%","-0.57%","-0.57%","-0.70%","-1.17%","-1.13%","-0.57%","-0.18%","-0.26%","-0.44%","-0.35%"
74,"4.29%","1.42%","-0.20%","-0.33%","-0.57%","-1.13%","-1.17%","-0.68%","-0.35%","-0.47%","-0.67%","-0.59%"
75,"4.96%","1.94%","0.21%","-0.02%","-0.34%","-0.99%","-1.12%","-0.72%","-0.46%","-0.63%","-0.88%","-0.82%"
76,"5.40%","2.34%","0.58%","0.34%","-0.03%","-0.77%","-0.99%","-0.68%","-0.66%","-0.77%","-0.93%","-1.00%"
77,"5.62%","2.56%","0.85%","0.67%","0.31%","-0.46%","-0.76%","-0.54%","-0.61%","-0.79%","-0.98%","-1.00%"
78,"5.65%","2.63%","1.00%","0.91%","0.64%","-0.11%","-0.45%","-0.32%","-0.48%","-0.74%","-0.97%","-1.00%"
79,"5.57%","2.58%","1.02%","1.05%","0.89%","0.22%","-0.10%","-0.01%","-0.26%","-0.60%","-0.90%","-1.00%"
80,"5.43%","2.48%","0.98%","1.07%","1.02%","0.47%","0.23%","0.34%","0.03%","-0.38%","-0.77%","-1.00%"
81,"5.25%","2.36%","0.90%","1.04%","1.05%","0.60%","0.48%","0.67%","0.35%","-0.10%","-0.58%","-1.00%"
82,"5.09%","2.24%","0.81%","0.97%","1.02%","0.63%","0.61%","0.91%","0.88%","0.28%","-0.43%","-0.75%"
83,"4.96%","2.12%","0.71%","0.89%","0.95%","0.60%","0.64%","1.05%","1.13%","0.61%","-0.07%","-0.39%"
