"Age","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035"
0,"5.92%","3.37%","1.42%","0.60%","0.35%","0.15%","0.06%","0.11%","0.19%","0.17%","0.17%","0.37%"
1,"7.14%","4.01%","1.63%","0.66%","0.40%","0.21%","0.10%","0.11%","0.17%","0.15%","0.16%","0.35%"
2,"8.01%","4.52%","1.85%","0.75%","0.47%","0.27%","0.14%","0.12%","0.14%","0.12%","0.14%","0.34%"
3,"8.31%","4.77%","2.03%","0.89%","0.58%","0.36%","0.20%","0.14%","0.12%","0.09%","0.12%","0.32%"
4,"7.99%","4.74%","2.18%","1.07%","0.73%","0.47%","0.28%","0.18%","0.12%","0.06%","0.08%","0.29%"
5,"7.18%","4.46%","2.28%","1.29%","0.92%","0.62%","0.39%","0.25%","0.15%","0.05%","0.04%","0.25%"
6,"6.14%","4.03%","2.31%","1.50%","1.16%","0.82%","0.55%","0.37%","0.21%","0.07%","0.02%","0.20%"
7,"5.18%","3.59%","2.29%","1.67%","1.39%","1.05%","0.76%","0.54%","0.33%","0.14%","0.04%","0.18%"
8,"4.54%","3.26%","2.22%","1.76%","1.57%","1.28%","1.01%","0.76%","0.51%","0.26%","0.10%","0.20%"
9,"4.37%","3.15%","2.17%","1.78%","1.67%","1.47%","1.24%","1.01%","0.74%","0.45%","0.24%","0.30%"
10,"4.69%","3.27%","2.16%","1.75%","1.69%","1.57%","1.43%","1.25%","1.00%","0.69%","0.45%","0.49%"
11,"5.38%","3.61%","2.23%","1.71%","1.65%","1.59%","1.53%","1.43%","1.25%","0.97%","0.72%","0.77%"
12,"6.18%","4.06%","2.38%","1.71%","1.60%","1.55%","1.55%","1.54%","1.45%","1.24%","1.03%","1.10%"
13,"6.77%","4.43%","2.57%","1.78%","1.59%","1.49%","1.51%","1.56%","1.56%","1.45%","1.32%","1.45%"
14,"6.88%","4.57%","2.73%","1.91%","1.65%","1.48%","1.45%","1.51%","1.58%","1.57%","1.54%","1.76%"
15,"6.35%","4.35%","2.76%","2.04%","1.77%","1.54%","1.44%","1.46%","1.54%","1.59%","1.66%","1.96%"
16,"5.27%","3.77%","2.59%","2.10%","1.91%","1.66%","1.50%","1.45%","1.49%","1.55%","1.68%","2.04%"
17,"3.89%","2.93%","2.23%","2.02%","1.99%","1.80%","1.62%","1.51%","1.48%","1.50%","1.63%","2.02%"
18,"2.59%","2.04%","1.71%","1.77%","1.93%","1.88%","1.76%","1.63%","1.53%","1.49%","1.57%","1.94%"
19,"1.66%","1.32%","1.16%","1.36%","1.69%","1.82%","1.84%","1.77%","1.66%","1.54%","1.56%","1.88%"
20,"1.28%","0.92%","0.70%","0.89%","1.29%","1.59%","1.79%","1.85%","1.80%","1.67%","1.62%","1.88%"
21,"1.49%","0.89%","0.44%","0.46%","0.83%","1.19%","1.55%","1.79%","1.88%","1.81%","1.75%","1.98%"
22,"2.19%","1.22%","0.41%","0.19%","0.40%","0.72%","1.15%","1.56%","1.82%","1.89%","1.90%","2.14%"
23,"3.21%","1.79%","0.59%","0.10%","0.11%","0.30%","0.68%","1.16%","1.58%","1.84%","1.99%","2.31%"
24,"4.36%","2.48%","0.91%","0.19%","0.01%","0.01%","0.26%","0.69%","1.19%","1.60%","1.93%","2.38%"
25,"5.51%","3.18%","1.28%","0.40%","0.08%","-0.10%","-0.03%","0.27%","0.72%","1.20%","1.67%","2.26%"
26,"6.53%","3.80%","1.63%","0.65%","0.26%","-0.03%","-0.14%","-0.02%","0.29%","0.73%","1.25%","1.93%"
27,"7.36%","4.30%","1.92%","0.88%","0.50%","0.15%","-0.07%","-0.13%","0.00%","0.29%","0.76%","1.43%"
28,"7.96%","4.68%","2.15%","1.08%","0.72%","0.38%","0.11%","-0.06%","-0.10%","0.00%","0.32%","0.91%"
29,"8.31%","4.93%","2.33%","1.25%","0.91%","0.61%","0.34%","0.12%","-0.04%","-0.10%","0.03%","0.49%"
30,"8.38%","5.03%","2.46%","1.39%","1.07%","0.79%","0.57%","0.35%","0.15%","-0.03%","-0.06%","0.27%"
31,"8.16%","4.95%","2.51%","1.51%","1.21%","0.95%","0.75%","0.57%","0.38%","0.16%","0.04%","0.26%"
32,"7.65%","4.68%","2.45%","1.58%","1.33%","1.10%","0.91%","0.76%","0.60%","0.39%","0.25%","0.43%"
33,"6.89%","4.22%","2.26%","1.55%","1.40%","1.22%","1.06%","0.92%","0.79%","0.61%","0.50%","0.68%"
34,"5.93%","3.59%","1.91%","1.40%","1.39%","1.29%","1.18%","1.07%","0.95%","0.80%","0.72%","0.93%"
35,"4.88%","2.85%","1.45%","1.12%","1.25%","1.28%","1.26%","1.19%","1.09%","0.96%","0.91%","1.14%"
36,"3.82%","2.09%","0.92%","0.73%","0.98%","1.14%","1.24%","1.26%","1.22%","1.11%","1.06%","1.31%"
37,"2.82%","1.37%","0.39%","0.28%","0.60%","0.87%","1.10%","1.25%","1.29%","1.23%","1.20%","1.45%"
38,"1.90%","0.72%","-0.09%","-0.17%","0.17%","0.50%","0.83%","1.11%","1.27%","1.30%","1.32%","1.59%"
39,"1.07%","0.17%","-0.50%","-0.57%","-0.27%","0.06%","0.46%","0.84%","1.14%","1.29%","1.40%","1.71%"
40,"0.31%","-0.32%","-0.81%","-0.89%","-0.65%","-0.37%","0.02%","0.46%","0.87%","1.15%","1.38%","1.77%"
